KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
0,1,313,0,-1,1,-1,6:17:16,12
0,1,313,0,-1,1,1,6:17:16,1
0,1,314,0,1,1,-1,10:46:49,9
0,1,314,0,1,1,1,10:46:49,4
0,1,315,0,1,1,1,9:53:50,10
0,1,316,0,1,1,1,9:07:23,10
0,1,348,0,1,1,1,0:10:57,9
0,1,348,0,1,1,1,23:11:52,9
0,1,348,0,1,1,1,3:18:42,6
0,1,348,0,1,1,1,4:50:21,6
0,1,348,0,1,1,1,4:11:59,6
0,1,348,0,1,1,1,2:33:43,6
0,1,348,0,1,1,1,5:34:38,6
0,1,348,0,1,1,1,1:48:14,6
0,1,348,0,1,1,1,6:17:48,6
0,1,348,0,1,1,1,1:05:23,6
0,1,348,0,1,1,1,6:55:51,6
0,1,349,0,1,-1,1,22:23:45,9
0,1,353,0,1,-1,1,4:04:07,5
0,1,353,0,1,1,1,4:04:07,4
0,1,355,0,1,-1,1,1:46:49,5
0,1,355,0,1,1,1,1:46:49,4
0,1,526,0,1,-1,-1,15:02:05,7
0,1,556,0,-1,1,1,21:21:11,5
0,1,556,0,-1,1,1,20:41:57,2
0,1,556,0,1,1,1,20:41:57,4
0,1,556,0,1,1,1,21:21:11,1
0,1,557,0,-1,1,-1,22:12:34,6
0,1,558,0,-1,1,-1,23:44:09,5
0,1,558,0,1,1,-1,23:44:09,1
0,1,559,0,-1,1,1,19:07:42,1
0,1,559,0,1,1,1,19:07:42,5
0,1,560,0,1,-1,1,12:43:16,6
0,1,561,0,-1,1,1,11:21:04,1
0,1,561,0,1,1,1,11:21:04,5
0,1,562,0,-1,1,1,23:00:23,6
0,1,563,0,1,-1,1,20:05:30,6
0,1,564,0,1,-1,1,16:21:39,2
0,1,564,0,1,1,1,16:21:39,4
0,1,565,0,1,1,1,15:48:47,6
1,0,-1,1,1,-1,-1,21:23:01,6
1,0,-1,1,1,-1,-1,12:34:20,3
1,0,-1,1,1,-1,-1,6:25:01,1
1,0,-1,1,1,-1,-1,3:55:39,1
1,0,-1,1,1,-1,-1,17:22:00,1
1,0,-1,1,1,-1,-1,2:59:24,1
1,0,-1,1,1,-1,-1,22:07:40,1
1,0,-1,1,1,-1,-1,13:25:34,1
1,0,-1,1,1,-1,-1,6:59:06,1
1,0,-1,1,1,-1,1,15:52:14,4
1,0,-1,1,1,-1,1,10:55:08,4
1,0,-1,1,1,-1,1,17:01:25,4
1,0,-1,1,1,-1,1,10:56:23,3
1,0,-1,1,1,-1,1,9:13:31,2
1,0,-1,1,1,-1,1,18:37:00,1
1,0,-1,1,1,-1,1,10:10:38,1
1,0,-1,1,1,-1,1,1:17:39,1
1,0,-1,1,1,-1,1,21:42:12,1
1,0,-1,1,1,1,-1,23:27:58,4
1,0,-1,1,1,1,-1,17:27:21,1
1,0,-1,1,1,1,-1,15:41:04,1
1,0,-1,1,1,1,1,20:04:14,7
1,0,-1,1,1,1,1,17:44:36,6
1,0,-1,1,1,1,1,11:08:49,6
1,0,-1,1,1,1,1,9:34:22,6
1,0,-1,1,1,1,1,20:36:04,6
1,0,-1,1,1,1,1,19:55:10,6
1,0,-1,1,1,1,1,0:14:08,6
1,0,-1,1,1,1,1,10:35:52,6
1,0,-1,1,1,1,1,8:43:27,6
1,0,-1,1,1,1,1,13:55:34,6
1,0,-1,1,1,1,1,15:20:10,6
1,0,-1,1,1,1,1,16:38:45,5
1,0,-1,1,1,1,1,23:17:34,5
1,0,-1,1,1,1,1,12:37:32,5
1,0,-1,1,1,1,1,17:38:53,4
1,0,-1,1,1,1,1,4:14:38,4
1,0,-1,1,1,1,1,5:57:45,4
1,0,-1,1,1,1,1,7:17:24,4
1,0,-1,1,1,1,1,21:12:55,4
1,0,-1,1,1,1,1,18:32:14,4
1,0,-1,1,1,1,1,6:31:17,4
1,0,-1,1,1,1,1,3:54:08,4
1,0,-1,1,1,1,1,5:40:18,4
1,0,-1,1,1,1,1,3:37:55,4
1,0,-1,1,1,1,1,7:45:04,4
1,0,-1,1,1,1,1,13:45:22,4
1,0,-1,1,1,1,1,18:19:59,4
1,0,-1,1,1,1,1,17:45:48,4
1,0,-1,1,1,1,1,19:18:58,4
1,0,-1,1,1,1,1,3:12:02,4
1,0,-1,1,1,1,1,20:50:24,4
1,0,-1,1,1,1,1,23:26:22,4
1,0,-1,1,1,1,1,0:13:39,4
1,0,-1,1,1,1,1,2:24:14,4
1,0,-1,1,1,1,1,22:47:26,3
1,0,-1,1,1,1,1,15:41:04,3
1,0,-1,1,1,1,1,8:23:27,3
1,0,-1,1,1,1,1,11:43:15,3
1,0,-1,1,1,1,1,7:41:32,3
1,0,-1,1,1,1,1,20:17:49,2
1,0,-1,1,1,1,1,15:52:14,1
1,0,-1,1,1,1,1,2:26:32,1
1,0,-1,1,1,1,1,21:41:26,1
1,0,-1,1,1,1,1,7:25:44,1
1,0,-1,1,1,1,1,3:13:26,1
1,0,-1,1,1,1,1,16:30:46,1
1,0,-1,1,1,1,1,15:47:43,1
1,0,-1,1,1,1,1,14:25:20,1
1,0,-1,1,1,1,1,13:49:37,1
1,0,-1,1,1,1,1,12:15:27,1
1,0,-1,1,1,1,1,1:01:49,1
1,0,-1,1,1,1,1,6:56:47,1
1,0,-1,1,1,1,1,23:28:38,1
1,0,-1,1,1,1,1,20:06:31,1
1,0,-1,1,1,1,1,18:53:22,1
1,0,-1,1,1,1,1,6:20:04,1
1,0,-1,1,1,1,1,15:22:32,1
1,0,-1,1,1,1,1,14:40:24,1
1,0,-1,1,1,1,1,6:37:39,1
1,0,-1,1,1,1,1,1:54:36,1
1,0,-1,1,1,1,1,18:10:54,1
1,0,-1,1,1,1,1,12:04:28,1
1,0,-1,1,1,1,1,10:26:47,1
1,0,-1,1,1,1,1,8:54:58,1
1,0,-1,1,1,1,1,19:09:20,1
1,0,-1,1,1,1,1,23:01:44,1
1,0,-1,1,1,1,1,4:56:48,1
1,0,-1,2,-1,-1,-1,17:58:34,4
1,0,-1,2,-1,-1,-1,0:19:54,3
