IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
1,-1,1,22:43:59,5
1,-1,1,1:56:19,5
1,-1,1,3:10:31,5
1,-1,1,19:10:17,5
1,-1,1,1:39:54,5
1,-1,1,22:44:29,5
1,-1,1,1:46:49,5
1,-1,1,4:04:07,5
1,-1,1,19:04:25,5
1,-1,1,18:14:08,5
1,-1,1,18:41:05,4
1,-1,1,15:52:14,4
1,-1,1,19:16:16,4
1,-1,1,20:35:35,4
1,-1,1,3:01:29,4
1,-1,1,5:21:47,4
1,-1,1,15:29:51,4
1,-1,1,21:43:26,4
1,-1,1,21:36:38,4
1,-1,1,1:03:37,4
1,-1,1,15:33:35,4
1,-1,1,10:55:08,4
1,-1,1,17:01:25,4
1,-1,1,4:15:16,4
1,-1,1,3:29:21,4
1,-1,1,3:22:05,3
1,-1,1,11:51:00,3
1,-1,1,12:42:17,3
1,-1,1,2:04:02,3
1,-1,1,21:18:38,3
1,-1,1,13:25:34,3
1,-1,1,2:47:31,3
1,-1,1,13:16:35,3
1,-1,1,10:56:23,3
1,-1,1,4:06:14,2
1,-1,1,7:41:29,2
1,-1,1,18:51:07,2
1,-1,1,4:05:21,2
1,-1,1,1:16:46,2
1,-1,1,2:59:24,2
1,-1,1,9:17:15,2
1,-1,1,7:05:21,2
1,-1,1,23:31:44,2
1,-1,1,22:40:07,2
1,-1,1,23:09:30,2
1,-1,1,16:21:39,2
1,-1,1,18:32:49,2
1,-1,1,23:37:01,2
1,-1,1,9:13:31,2
1,-1,1,14:01:19,2
1,-1,1,3:30:33,1
1,-1,1,11:13:39,1
1,-1,1,4:07:25,1
1,-1,1,5:30:28,1
1,-1,1,18:37:00,1
1,-1,1,10:10:38,1
1,-1,1,23:34:47,1
1,-1,1,1:17:39,1
1,-1,1,12:37:32,1
1,-1,1,21:30:56,1
1,-1,1,19:09:20,1
1,-1,1,8:06:38,1
1,-1,1,19:51:37,1
1,-1,1,17:26:43,1
1,-1,1,15:41:46,1
1,-1,1,11:07:57,1
1,-1,1,7:58:25,1
1,-1,1,21:57:54,1
1,-1,1,1:11:09,1
1,1,-1,15:41:12,12
1,1,-1,7:33:59,12
1,1,-1,10:32:47,12
1,1,-1,12:59:17,11
1,1,-1,8:14:42,9
1,1,-1,9:46:21,9
1,1,-1,10:46:49,9
1,1,-1,9:43:27,8
1,1,-1,15:48:22,8
1,1,-1,1:20:19,8
1,1,-1,7:08:45,8
1,1,-1,11:57:04,8
1,1,-1,10:22:47,7
1,1,-1,22:13:02,7
1,1,-1,6:34:04,6
1,1,-1,11:17:46,6
1,1,-1,19:41:08,6
1,1,-1,3:45:48,6
1,1,-1,22:56:59,6
1,1,-1,8:36:10,6
1,1,-1,3:59:40,6
1,1,-1,6:47:32,6
1,1,-1,15:28:38,5
1,1,-1,12:07:47,5
1,1,-1,17:27:21,5
1,1,-1,21:07:41,5
1,1,-1,19:25:52,4
1,1,-1,23:27:58,4
1,1,-1,7:26:13,3
1,1,-1,10:10:08,3
1,1,-1,15:42:07,3
1,1,-1,21:30:33,3
1,1,-1,9:11:34,3
1,1,-1,5:42:11,2
1,1,-1,8:45:37,2
1,1,-1,8:53:35,2
1,1,-1,18:59:02,2
1,1,-1,9:14:05,2
1,1,-1,22:39:34,2
