DBSCAN,impurity_index_fca_bin,count
665,High,7
665,Medium,7
666,Medium,7
667,Medium,14
667,Low,7
668,Medium,7
669,Medium,7
670,High,7
671,High,7
672,Low,16
673,Low,6
674,Low,8
675,Low,8
676,Medium,24
676,Low,16
677,High,8
678,Low,8
679,Low,8
680,Low,8
681,Low,8
681,Medium,8
682,Low,8
683,Medium,8
684,Medium,8
685,Low,8
686,Low,8
687,Low,8
688,Medium,8
689,Low,16
689,Medium,8
690,High,8
691,Low,8
692,Low,45
692,Medium,18
692,High,9
693,Medium,18
693,Low,18
694,Low,9
695,Medium,9
695,Low,9
696,High,9
697,High,9
698,Medium,9
699,Low,9
700,Low,9
701,High,9
702,High,9
703,Low,9
704,Medium,9
705,High,9
706,High,9
707,High,9
708,Low,9
709,Medium,9
710,Low,78
710,Medium,39
711,High,13
712,Low,52
713,Low,13
714,Low,13
715,Medium,13
716,Low,13
717,Low,26
718,Low,13
719,Low,13
720,Low,13
721,Low,13
722,Low,13
723,Low,13
724,Low,22
725,Medium,7
726,Medium,7
727,Medium,7
727,Low,7
728,Medium,7
729,Medium,7
730,High,14
731,High,14
732,High,7
733,High,7
733,Medium,7
734,High,21
735,High,7
736,Low,7
737,High,7
738,Medium,7
739,Medium,7
740,Low,7
741,Low,7
742,Low,7
743,High,21
743,Medium,7
744,High,7
745,Medium,7
746,Low,7
747,High,7
748,Low,32
749,Medium,8
750,High,50
750,Medium,16
751,High,8
752,High,8
753,Low,8
754,Medium,8
755,Medium,16
755,Low,8
756,Medium,16
757,High,8
758,Medium,8
759,High,8
760,High,8
761,High,8
762,High,32
763,High,8
764,High,8
765,High,8
766,Medium,8
767,High,8
768,Medium,16
769,Medium,7
770,High,7
771,High,14
772,High,21
773,High,35
773,Medium,14
774,High,7
775,High,7
776,Low,7
777,Low,7
778,Low,7
779,Medium,7
780,Medium,7
780,High,7
781,High,21
781,Medium,21
782,High,7
783,High,7
784,Medium,7
785,Medium,7
786,Low,9
787,Low,9
788,Low,9
789,Low,9
789,Medium,9
790,Low,9
791,Medium,9
792,Low,9
793,Low,9
794,Low,9
795,Low,9
796,Low,18
797,Low,9
798,Low,9
799,High,9
800,Medium,9
801,Low,9
802,Low,9
803,Low,9
804,Low,70
804,Medium,39
804,High,10
805,Medium,5
806,Medium,46
806,High,20
806,Low,6
807,Low,5
808,Medium,15
808,High,5
809,Medium,5
810,High,5
811,Low,10
811,Medium,5
812,High,5
813,Low,5
814,High,5
815,High,5
816,Medium,5
817,Low,5
818,High,5
819,Medium,10
820,Low,5
821,Medium,5
822,Low,5
823,Medium,5
824,High,5
825,High,7
826,High,7
827,High,7
828,High,7
829,High,7
830,High,7
831,High,7
832,Medium,7
833,Medium,7
834,High,14
