anomaly_label,anomaly_score,is_anomaly,RUL,RUL_class
1,0.14078781493769876,0,1125.0,Healthy
1,0.10812004114069601,0,1152.0,Healthy
1,0.135850591566181,0,1177.0,Healthy
1,0.13775490914648852,0,1204.0,Healthy
1,0.13792463366298696,0,1232.0,Healthy
1,0.12979878388515098,0,1069.0,Healthy
1,0.10812004114069601,0,162.0,Low
1,0.13308629678815515,0,1812.0,Healthy
1,0.1310755390424324,0,27.0,Critical
1,0.1172834714142933,0,4622.0,Healthy
1,0.1193478237317761,0,4649.0,Healthy
1,0.12774540701853265,0,4707.0,Healthy
1,0.12062991726579175,0,4735.0,Healthy
1,0.09908650575556893,0,4769.0,Healthy
1,0.12287615774977806,0,4986.0,Healthy
1,0.13713274533428155,0,4594.0,Healthy
1,0.12792163259195044,0,5020.0,Healthy
1,0.1273480119151521,0,5085.0,Healthy
1,0.12635584582763537,0,5115.0,Healthy
1,0.12659521243849398,0,5146.0,Healthy
1,0.10779277788617192,0,5180.0,Healthy
1,0.13308629678815515,0,5211.0,Healthy
1,0.07339923545267157,0,5241.0,Healthy
1,0.11551705805287515,0,5051.0,Healthy
1,0.07339923545267157,0,1846.0,Healthy
1,0.11300707239536506,0,4567.0,Healthy
1,0.1276742022623676,0,4514.0,Healthy
1,0.1401709134454131,0,0.0,Critical
1,0.1401709134454131,0,4174.0,Healthy
1,0.1310755390424324,0,4198.0,Healthy
1,0.12197053793799628,0,4226.0,Healthy
1,0.12979878388515098,0,4250.0,Healthy
1,0.1295337158606541,0,4278.0,Healthy
1,0.0968987955347968,0,4542.0,Healthy
1,0.14078781493769876,0,4303.0,Healthy
1,0.135850591566181,0,4358.0,Healthy
1,0.13775490914648852,0,4382.0,Healthy
1,0.13792463366298696,0,4410.0,Healthy
1,0.12803521184874012,0,4435.0,Healthy
1,0.1210865294152701,0,4462.0,Healthy
1,0.13154272944758288,0,4487.0,Healthy
1,0.10812004114069601,0,4330.0,Healthy
1,0.135850591566181,0,190.0,Low
1,0.12979878388515098,0,82.0,Critical
1,0.13886031200833482,0,5998.0,Healthy
1,0.10427857013967279,0,0.0,Critical
1,0.07334834057384892,0,9617.0,Healthy
1,0.1340227722291053,0,9583.0,Healthy
1,0.10925927822609527,0,9553.0,Healthy
1,0.12703898989740214,0,9519.0,Healthy
1,0.12772019207921703,0,9485.0,Healthy
1,0.06617070172563899,0,356.0,Low
1,0.12844346496780218,0,9451.0,Healthy
1,0.12964478417851305,0,9387.0,Healthy
1,0.12483560722453202,0,9353.0,Healthy
1,0.10093396192503812,0,9319.0,Healthy
1,0.12280297730075912,0,9288.0,Healthy
1,0.13775490914648852,0,217.0,Low
1,0.12042037904501712,0,9230.0,Healthy
1,0.11765911837665444,0,9421.0,Healthy
1,0.11811193246176227,0,9209.0,Healthy
1,0.12413806450845821,0,326.0,Low
1,0.11856715994866257,0,261.0,Low
1,0.12782044252161284,0,13092.0,Healthy
1,0.09735486884221678,0,13120.0,Healthy
1,0.11475920956247981,0,13145.0,Healthy
1,0.1366280933522408,0,13169.0,Healthy
1,0.11733970024047613,0,13197.0,Healthy
1,0.11976867726458251,0,13224.0,Healthy
1,0.09891317749104162,0,292.0,Low
1,0.11900595539348124,0,0.0,Critical
1,0.09098234198244748,0,61.0,Critical
1,0.11441751194956457,0,95.0,Critical
1,0.11916030759985602,0,129.0,Critical
1,0.1076645126845725,0,163.0,Low
1,0.11887011231725092,0,194.0,Low
1,0.11826619679473316,0,227.0,Low
1,0.11230830451537255,0,31.0,Critical
1,0.13778686788196587,0,9184.0,Healthy
1,0.12816813237415248,0,9255.0,Healthy
1,0.09817799261586646,0,9129.0,Healthy
1,0.12500425212384464,0,0.0,Critical
1,0.11571343301589743,0,9157.0,Healthy
1,0.09721755963289341,0,0.0,Critical
1,0.11789922659184132,0,0.0,Critical
1,0.12303109549259328,0,0.0,Critical
1,0.1193478237317761,0,484.0,Medium
1,0.12199404804452846,0,0.0,Critical
1,0.1172834714142933,0,457.0,Medium
1,0.11300707239536506,0,405.0,Medium
1,0.0968987955347968,0,377.0,Low
1,0.1276742022623676,0,352.0,Low
1,0.13154272944758288,0,325.0,Low
1,0.1210865294152701,0,297.0,Low
1,0.12803521184874012,0,270.0,Low
