feature,importance
cat__timestamp_2020-03-08 12:23:41,7.132314035772762e-05
cat__timestamp_2020-04-08 06:56:47,7.050531933545779e-05
cat__timestamp_2020-05-20 17:59:27,7.00307099835635e-05
cat__timestamp_2020-05-19 21:26:21,6.98172956964285e-05
cat__timestamp_2020-08-08 13:43:11,6.902993566931552e-05
cat__timestamp_2020-05-21 00:46:45,6.882717295091341e-05
cat__timestamp_2020-06-09 19:19:56,6.771747085840498e-05
cat__timestamp_2020-08-09 18:50:58,6.704287418020256e-05
cat__timestamp_2020-01-05 16:43:51,6.668735594989108e-05
cat__timestamp_2020-08-18 16:06:31,6.626143740613216e-05
cat__timestamp_2020-08-08 20:50:52,6.59212222339267e-05
cat__timestamp_2020-03-08 21:28:57,6.538011216951128e-05
cat__timestamp_2020-07-23 14:03:27,6.517656889935732e-05
cat__timestamp_2020-05-09 16:13:19,6.475625153630843e-05
cat__timestamp_2020-05-31 10:37:43,6.467395602369221e-05
cat__timestamp_2020-02-08 23:17:34,6.455840297466902e-05
cat__timestamp_2020-01-05 14:59:52,6.372043121260197e-05
cat__timestamp_2020-08-08 16:21:43,6.362528890739554e-05
cat__timestamp_2020-01-10 19:33:56,6.353599195634138e-05
cat__timestamp_2020-08-25 18:44:16,6.292602355920317e-05
cat__timestamp_2020-03-08 18:44:56,6.260667944799e-05
cat__timestamp_2020-08-26 08:16:20,6.196191066284484e-05
cat__timestamp_2020-05-31 08:23:03,6.186637201510746e-05
cat__timestamp_2020-03-08 11:01:52,6.111160687023448e-05
cat__timestamp_2020-04-09 21:32:25,6.10796907106071e-05
cat__timestamp_2020-04-08 02:16:52,6.0036975077899384e-05
cat__timestamp_2020-02-10 01:23:28,5.9386970103650246e-05
cat__timestamp_2020-01-10 14:45:02,5.9353590796005e-05
cat__timestamp_2020-04-09 23:37:55,5.9224421132054936e-05
cat__timestamp_2020-01-10 20:21:06,5.868418562388444e-05
cat__timestamp_2020-05-25 10:28:19,5.8491689620824516e-05
cat__timestamp_2020-01-05 03:22:05,5.8245178529503886e-05
cat__timestamp_2020-05-24 17:07:01,5.616647819322531e-05
cat__timestamp_2020-08-08 15:43:37,5.597024337070719e-05
cat__timestamp_2020-07-29 16:22:59,5.462506593283921e-05
cat__timestamp_2020-08-20 05:03:08,5.445875128828969e-05
cat__timestamp_2020-03-08 00:11:48,5.4398476223394205e-05
cat__timestamp_2020-08-26 04:10:00,5.3655596278768833e-05
cat__timestamp_2020-08-08 14:19:42,5.29691485491765e-05
cat__timestamp_2020-01-10 15:38:27,5.2600768488820897e-05
cat__timestamp_2020-02-10 02:00:22,5.2537822159913793e-05
cat__timestamp_2020-08-20 03:29:21,5.2266668703050666e-05
cat__timestamp_2020-05-25 01:00:44,5.157170456515038e-05
cat__timestamp_2020-08-18 17:09:25,5.139153686380846e-05
cat__timestamp_2020-05-31 06:06:41,5.1236472771831485e-05
cat__timestamp_2020-01-07 00:09:06,5.05240716433199e-05
cat__timestamp_2020-05-20 10:16:25,4.954835039739317e-05
cat__timestamp_2020-05-09 14:56:26,4.9461532531677026e-05
cat__timestamp_2020-08-15 17:36:08,4.942703811355175e-05
cat__timestamp_2020-03-08 22:08:58,4.924984133848507e-05
cat__timestamp_2020-08-09 21:05:04,4.919425725780568e-05
cat__timestamp_2020-04-09 20:51:22,4.905810356301669e-05
cat__timestamp_2020-03-08 16:31:13,4.9052771542206796e-05
cat__timestamp_2020-03-08 13:44:56,4.904026180185013e-05
cat__timestamp_2020-06-09 18:05:50,4.855922730883677e-05
cat__timestamp_2020-05-30 10:34:46,4.82116578428302e-05
cat__timestamp_2020-08-17 04:51:59,4.742211680939842e-05
cat__timestamp_2020-05-20 13:04:33,4.7024110336537266e-05
cat__timestamp_2020-06-09 20:49:22,4.702352995579293e-05
cat__timestamp_2020-05-09 15:41:12,4.6959537495165416e-05
cat__timestamp_2020-08-20 00:21:58,4.6954340998051124e-05
cat__timestamp_2020-01-05 13:31:11,4.686365941470277e-05
cat__timestamp_2020-07-24 04:29:42,4.6553874281162094e-05
cat__timestamp_2020-08-17 15:06:20,4.6465625784989396e-05
cat__timestamp_2020-05-24 07:01:52,4.646126774151222e-05
cat__timestamp_2020-05-21 09:40:05,4.62189287720424e-05
cat__timestamp_2020-05-09 20:10:31,4.6138430926160374e-05
cat__timestamp_2020-04-08 02:59:24,4.6134345189799503e-05
cat__timestamp_2020-01-05 00:20:12,4.5812263252159825e-05
cat__timestamp_2020-05-19 19:50:26,4.57239467171439e-05
cat__timestamp_2020-03-08 11:50:32,4.5641197022626464e-05
cat__timestamp_2020-06-09 00:14:17,4.536718711727421e-05
cat__timestamp_2020-01-08 00:07:27,4.528595603346307e-05
cat__timestamp_2020-07-30 07:24:25,4.524866152773986e-05
cat__timestamp_2020-06-07 00:00:06,4.52135497334652e-05
cat__timestamp_2020-08-17 03:54:08,4.48469607377981e-05
cat__timestamp_2020-03-05 20:04:14,4.4656246703111547e-05
cat__timestamp_2020-05-21 08:53:13,4.452359175441852e-05
