PC1,PC2,RUL,RUL_class
0.7265910414603144,0.6011312636403989,778.0,Medium
1.5419117222823984,-0.14237178172588494,860.0,Healthy
0.8142499837263362,0.6934095829878567,722.0,Medium
0.4869790799009553,0.41524584623628874,695.0,Medium
0.5376287473790617,0.5810608061850056,668.0,Medium
0.8004482702709019,0.5853641653744429,640.0,Medium
0.2633607246820644,0.3721037587993283,750.0,Medium
1.471603046665345,0.3073969187734071,93.0,Critical
1.5962543427705493,0.6381831486550179,12767.0,Healthy
1.486129556368108,0.021587677920191953,123.0,Critical
1.780388847103779,0.10009055304764601,154.0,Low
1.8662477482386735,0.034718054547129874,185.0,Low
1.6478949133819503,-0.16827569396961514,215.0,Low
1.933569752131184,-0.029625549571347606,215.0,Low
1.1544257434208893,0.5709179561905973,12739.0,Healthy
1.9618504885040726,1.024974361129428,12795.0,Healthy
2.954266732545016,0.31856895274042063,311.0,Low
1.4467433868697186,0.692819636515751,12957.0,Healthy
1.375164440267419,0.7145453189426125,12847.0,Healthy
2.3623599263286574,0.05845046869144009,246.0,Low
1.3896591986906572,-0.14462452740796988,277.0,Low
1.185485577889522,0.6763019616911197,12930.0,Healthy
1.7325206705932437,0.7575312886456123,12878.0,Healthy
2.430196170476362,0.9162661956974794,12902.0,Healthy
1.9166800629851148,0.7612413245662062,62.0,Critical
1.3359988846956619,0.5862586127864875,12822.0,Healthy
1.4099583290330067,-0.12641514047771543,31.0,Critical
2.4301931179350627,0.9162501778367176,13559.0,Healthy
1.2924446956869242,0.5940531213509688,13902.0,Healthy
1.389941044474027,-0.14314557394883126,0.0,Critical
2.954548014271841,0.320044946377462,0.0,Critical
1.4496868669431036,0.47073463612965927,12985.0,Healthy
1.1544225913401993,0.5709014160082889,13390.0,Healthy
1.5962512404595546,0.6381668696334829,13421.0,Healthy
1.9618473696031795,1.0249579950543017,13448.0,Healthy
1.335995782384667,0.5862423337649525,13476.0,Healthy
1.3751613877261193,0.7145293010818508,13504.0,Healthy
1.7325175516923506,0.7575149225704861,13531.0,Healthy
1.1499463581440308,0.6888348279004712,0.0,Critical
1.185482558528019,0.67628611793754,13589.0,Healthy
1.4495883727164942,0.47021779895931926,7889.0,Healthy
1.7974875143539033,0.3239523247008384,13672.0,Healthy
2.2543294460580254,0.7749739569867562,13703.0,Healthy
1.7958727475103402,0.6522062993328609,13731.0,Healthy
1.62751202199894,0.6991564893845416,13758.0,Healthy
-0.19560800762414066,-0.113215973586284,13789.0,Healthy
0.5516224456722283,0.4260954196019744,13816.0,Healthy
1.1965940726960276,0.9197309699938332,13844.0,Healthy
2.2958943215408305,1.0285986261834907,13872.0,Healthy
1.4467403840981141,0.6928038798157625,13617.0,Healthy
1.7974905337154063,0.32396816845441795,13013.0,Healthy
1.780672733444648,0.10158021409848948,0.0,Critical
1.7958756507425544,0.6522215337113028,13065.0,Healthy
-0.19569541979864036,-0.11367465895777153,1370.0,Healthy
0.5515350003179319,0.4256365601233047,1395.0,Healthy
1.196506610751833,0.9192720234615723,1422.0,Healthy
2.2958068595966354,1.0281396796512299,1450.0,Healthy
1.2923571839730343,0.5935939136579347,1477.0,Healthy
1.1500894294275543,0.6895855780700876,1474.0,Healthy
1.6274246595941355,0.6986980651738274,1342.0,Healthy
1.4101014998559203,-0.12566386798655252,1511.0,Healthy
1.4717466156458194,0.3081502805507563,1597.0,Healthy
1.4862728930900055,0.022339820947265783,1613.0,Healthy
1.780532217005473,0.10084287018190206,1646.0,Healthy
1.8663911181403676,0.03547037168138593,1677.0,Healthy
1.6480383496432378,-0.16752302862099475,1711.0,Healthy
1.9337137524490162,-0.028869924400629906,1745.0,Healthy
1.9168232338080284,0.7619925970573691,1542.0,Healthy
2.3625039598262862,0.05920626796934002,1778.0,Healthy
1.7957853851055356,0.6517478751221466,1315.0,Healthy
1.7974002183086923,0.32349424870448856,1260.0,Healthy
1.7324221763666343,0.7570144514752724,135.0,Critical
1.3750659958105047,0.7140287429330459,107.0,Critical
2.25433234929024,0.7749891913651982,13037.0,Healthy
1.9617520440471585,1.0244577851198613,55.0,Critical
1.1543355441434637,0.5704446458158056,993.0,Healthy
1.5961640771335304,0.6377094900658618,1017.0,Healthy
2.254242083653221,0.774515532776042,1287.0,Healthy
1.9617602228670536,1.024500702540272,1045.0,Healthy
1.3750741746304,0.7140716603534564,1097.0,Healthy
