,KMeans_Cluster,GMM_Cluster,DBSCAN_Cluster,Hierarchical_Cluster
702,3,3,0,1
703,1,1,0,1
704,1,3,0,1
705,3,3,0,0
706,3,3,0,0
707,3,3,0,0
708,1,3,0,1
709,1,3,0,1
710,1,3,24,1
711,1,3,24,1
712,1,3,24,1
713,1,3,0,1
714,1,3,24,1
715,1,3,24,1
716,1,3,24,1
717,3,3,0,0
718,3,3,0,0
719,3,3,0,0
720,3,3,0,0
721,3,3,0,0
722,3,3,0,0
723,3,3,0,0
724,3,3,0,0
725,3,3,0,0
726,3,3,0,1
727,1,3,0,1
728,1,1,0,1
729,3,3,0,0
730,3,3,0,0
731,3,3,0,0
732,1,1,0,1
733,3,3,0,0
734,1,3,0,1
735,3,3,0,0
736,1,3,24,1
737,1,1,24,1
738,3,3,0,1
739,1,1,0,1
740,1,3,0,1
741,1,3,0,1
742,1,3,24,1
743,1,3,24,1
744,1,3,24,1
745,1,3,0,1
746,1,3,24,1
747,1,3,24,1
748,3,3,0,0
749,3,3,0,0
750,3,3,0,0
751,3,3,0,0
752,3,3,0,0
753,3,3,0,0
754,3,3,0,0
755,3,3,0,0
756,3,3,0,0
757,1,1,0,1
758,1,3,0,1
759,1,3,0,1
760,1,3,24,1
761,1,3,24,1
762,1,3,24,1
763,1,3,24,1
764,1,3,24,1
765,3,3,0,0
766,1,3,24,1
767,1,3,24,1
768,1,3,24,1
769,3,3,0,0
770,3,3,0,0
771,3,3,0,0
772,3,3,0,0
773,3,3,0,0
777,1,1,0,1
778,3,1,0,1
779,3,3,0,1
780,1,1,0,1
781,3,1,0,1
782,1,1,0,1
783,3,3,0,1
784,3,3,0,1
785,1,3,0,1
786,1,3,0,1
787,1,1,24,1
788,1,1,0,1
789,1,1,0,1
790,1,3,0,1
791,1,3,0,1
792,1,3,24,1
793,1,3,24,1
794,1,3,24,1
795,1,3,24,1
796,1,3,24,1
797,3,3,0,0
799,3,3,0,0
801,1,3,24,1
802,3,1,0,1
803,3,3,0,1
804,3,3,0,0
805,3,3,0,0
806,3,3,0,0
807,3,3,0,0
808,1,1,0,1
809,1,3,0,1
810,3,3,0,1
811,3,3,0,0
812,3,3,0,0
813,3,3,0,0
814,3,3,0,0
815,3,3,0,0
816,3,3,0,1
817,1,3,0,1
818,1,1,0,1
819,3,1,0,1
820,1,1,0,1
821,3,3,0,1
822,3,3,0,1
823,1,3,0,1
824,1,3,24,1
825,1,3,0,1
826,1,1,24,1
827,1,1,0,1
828,1,1,0,1
829,1,3,0,1
830,1,3,0,1
831,1,3,24,1
833,3,3,0,0
834,3,3,0,0
836,1,3,24,1
837,1,3,24,1
838,1,3,24,1
839,1,3,24,1
840,1,3,24,1
841,1,3,24,1
842,1,3,0,1
843,1,3,0,1
844,1,1,0,1
845,1,1,0,1
846,1,1,24,1
847,1,3,0,1
848,1,3,0,1
849,3,3,0,0
850,3,3,0,1
851,1,1,0,1
852,3,1,0,1
853,1,1,0,1
854,3,3,0,1
855,3,1,0,1
856,1,1,0,1
857,1,3,0,1
858,3,3,0,1
859,3,3,0,0
860,3,3,0,0
861,3,3,0,0
862,3,3,0,0
863,1,3,24,1
864,1,3,24,1
865,3,3,0,1
869,3,3,0,0
870,3,3,0,0
871,3,3,0,0
872,3,3,0,0
873,3,3,0,0
874,3,3,0,0
875,3,3,0,0
876,3,3,0,0
877,3,3,0,0
878,3,3,0,0
879,3,3,0,0
881,3,3,0,0
882,1,3,24,1
883,3,3,0,0
884,1,3,24,1
885,1,3,24,1
886,1,3,24,1
887,1,3,24,1
888,1,3,0,1
889,1,3,0,1
890,1,1,0,1
891,1,1,0,1
892,1,1,24,1
893,1,3,24,1
894,1,3,0,1
895,1,3,0,1
898,0,0,3,0
899,0,0,8,0
900,0,0,3,0
901,0,0,3,0
902,0,0,3,0
903,0,0,12,0
904,0,0,3,0
905,0,0,3,0
906,0,0,3,0
907,0,0,3,0
908,0,0,12,0
909,0,0,12,0
910,0,0,3,0
911,0,0,12,0
912,4,4,2,3
913,0,0,3,0
915,0,0,12,0
916,0,0,3,0
917,0,0,3,0
918,0,0,3,0
919,0,0,12,0
920,0,0,12,0
921,0,0,12,0
922,0,0,3,0
923,0,0,8,0
924,0,0,3,0
925,0,0,3,0
926,0,0,3,0
927,4,4,2,3
928,0,0,3,0
929,0,0,3,0
930,0,0,3,0
931,0,0,3,0
932,0,0,3,0
933,0,0,12,0
934,0,0,12,0
935,0,0,3,0
936,0,0,3,0
937,0,0,3,0
938,0,0,12,0
939,0,0,3,0
940,0,0,12,0
941,0,0,3,0
942,0,0,8,0
943,0,0,3,0
944,0,0,3,0
945,0,0,3,0
946,4,4,2,3
947,0,0,3,0
949,0,0,3,0
950,0,0,12,0
951,0,0,3,0
952,0,0,3,0
953,0,0,3,0
954,0,0,8,0
955,0,0,3,0
956,0,0,3,0
957,4,4,2,3
958,0,0,12,0
959,0,0,3,0
960,0,0,3,0
961,0,0,3,0
962,0,0,12,0
963,0,0,12,0
965,0,0,12,0
966,0,0,12,0
967,0,0,3,0
968,0,0,3,0
969,0,0,3,0
970,0,0,3,0
971,0,0,3,0
972,0,0,12,0
973,0,0,12,0
974,0,0,3,0
975,0,0,3,0
976,0,0,3,0
977,0,0,3,0
978,0,0,3,0
979,4,4,2,3
980,0,0,3,0
983,0,0,8,0
984,0,0,3,0
985,0,0,12,0
986,4,4,2,3
987,0,0,3,0
988,0,0,12,0
989,0,0,3,0
990,0,0,3,0
991,0,0,3,0
992,0,0,12,0
993,0,0,12,0
994,0,0,3,0
995,0,0,8,0
996,0,0,3,0
997,0,0,3,0
998,0,0,3,0
999,0,0,3,0
1000,3,3,0,1
1001,2,2,5,2
1002,2,2,5,2
1003,3,1,9,1
1004,3,3,9,1
1005,3,3,0,1
1006,3,3,0,1
1007,3,3,9,1
1008,3,3,0,0
1009,3,3,9,1
1010,3,3,0,0
1011,3,3,0,0
1012,3,3,0,0
1013,3,3,0,0
1014,3,3,0,1
1015,2,2,5,2
1016,3,3,0,1
1017,3,3,0,1
1018,3,3,9,1
1019,3,1,9,1
1020,3,3,0,0
1021,2,2,5,2
1022,3,3,0,0
1023,2,2,5,2
1024,2,2,5,2
1025,2,2,5,2
1026,2,2,5,2
1027,2,2,5,2
1028,2,2,5,2
1029,2,2,5,2
1030,2,2,5,2
1031,2,2,5,2
1032,2,2,5,2
1033,2,2,5,2
1034,3,1,9,1
1035,3,3,9,1
1036,3,3,0,1
1037,3,3,0,1
1038,3,3,9,1
1039,3,3,0,0
1040,2,2,5,2
1041,3,3,0,0
1042,3,3,0,0
1043,3,3,0,0
1044,2,2,5,2
1045,2,2,5,2
1046,2,2,5,2
1047,2,2,5,2
1048,2,2,5,2
1049,2,2,5,2
1050,2,2,5,2
1051,2,2,5,2
1052,3,3,0,0
1053,3,3,0,0
1054,3,3,0,0
1055,3,3,0,0
1056,3,3,0,0
1057,3,3,0,1
1058,3,3,9,1
1059,3,3,0,1
1060,3,3,0,1
1061,3,3,9,1
1062,3,1,9,1
1063,2,2,5,2
1064,2,2,5,2
1065,2,2,5,2
1066,2,2,5,2
1067,2,2,5,2
1068,2,2,5,2
1069,2,2,5,2
1070,2,2,5,2
1071,2,2,5,2
1072,2,2,5,2
1073,2,2,5,2
1074,2,2,5,2
1075,2,2,5,2
1076,2,2,5,2
1077,2,2,5,2
1078,2,2,5,2
1079,3,3,0,0
1080,3,3,0,0
1081,3,3,0,0
1082,3,3,0,0
1083,3,3,0,0
1084,2,2,5,2
1085,3,3,0,0
1086,3,3,0,0
1087,3,3,0,0
1088,3,3,0,1
1089,3,3,9,1
1090,3,3,0,1
1091,3,3,0,1
1092,3,3,9,1
1093,3,1,9,1
1094,2,2,5,2
1095,2,2,5,2
1096,3,3,0,0
1097,2,2,5,2
1098,3,3,0,1
1099,2,2,5,2
1100,3,3,9,1
1101,2,2,5,2
1102,2,2,5,2
1103,2,2,5,2
1104,2,2,5,2
1105,2,2,5,2
1106,2,2,5,2
1107,2,2,5,2
1108,2,2,5,2
1109,2,2,5,2
1110,3,1,9,1
1111,3,3,9,1
1112,3,3,0,1
1113,3,3,0,0
1114,3,3,0,0
1115,3,3,0,0
1116,3,3,0,0
1117,3,3,0,0
1118,3,3,0,1
1119,2,2,5,2
1120,2,2,5,2
1121,3,3,0,1
1122,3,3,0,1
1124,2,2,5,2
1125,2,2,5,2
1126,2,2,5,2
1127,2,2,5,2
1128,2,2,5,2
1129,3,3,9,1
1130,3,1,9,1
1131,3,3,0,1
1132,3,3,9,1
1134,3,3,0,0
1135,3,3,0,0
1136,3,3,0,0
1137,3,3,0,0
1138,3,3,0,0
1139,3,3,0,1
1140,3,1,0,1
1141,1,3,0,1
1142,1,3,0,1
1143,1,3,0,1
1144,3,3,13,0
1145,1,3,0,1
1146,3,3,13,0
1147,3,3,0,0
1148,3,3,0,0
1149,3,3,0,1
1150,1,3,0,1
1151,1,3,0,1
1152,3,3,0,1
1153,3,3,0,1
1154,3,3,0,1
1155,1,3,0,1
1156,3,3,0,1
1157,1,3,0,1
1158,1,3,0,1
1159,3,3,0,1
1160,3,3,0,1
1161,3,3,0,1
1162,3,3,0,1
1163,3,3,0,1
1164,3,3,0,1
1165,3,3,0,1
1166,1,3,0,1
1167,3,3,0,1
1168,1,3,0,1
1169,1,3,0,1
1170,3,3,0,1
1171,1,3,0,1
1172,1,3,0,1
1173,1,3,0,1
1174,1,3,0,1
1175,1,3,0,1
1176,1,3,0,1
1177,1,3,0,1
1178,1,3,0,1
1179,1,3,0,1
1180,3,3,0,1
1181,3,3,0,1
1182,3,3,0,1
1183,1,3,0,1
1184,1,3,0,1
1185,1,3,0,1
1186,1,3,0,1
1187,1,3,0,1
1188,1,3,0,1
1189,1,3,0,1
1190,1,3,0,1
1191,1,3,0,1
1192,1,3,0,1
1193,1,3,0,1
1194,1,3,0,1
1195,1,3,0,1
1196,3,3,22,0
1197,3,3,0,0
1198,3,3,0,1
1199,3,3,0,1
1200,3,1,0,1
1203,1,3,0,1
1204,1,3,0,1
1205,3,3,0,1
1206,1,3,0,1
1207,3,3,0,1
1208,3,3,0,1
1209,3,3,0,0
1210,1,3,0,1
1211,1,3,0,1
1212,3,3,0,1
1213,3,3,0,1
1214,3,3,0,1
1215,3,3,0,1
1216,3,3,0,1
1217,3,3,13,0
1218,3,1,0,1
1219,3,3,0,1
1220,3,3,0,1
1221,3,3,0,0
1222,3,3,0,1
1223,3,3,22,0
1224,1,3,0,1
1225,1,3,0,1
1226,1,3,0,1
1227,1,3,0,1
1228,1,3,0,1
1229,1,3,0,1
1230,1,3,0,1
1231,1,3,0,1
1232,1,3,0,1
1233,1,3,0,1
1234,1,3,0,1
1235,1,3,0,1
1236,1,3,0,1
1237,1,3,0,1
1238,1,3,0,1
1239,3,3,0,1
1240,3,3,0,1
1241,3,3,0,0
1242,1,3,0,1
1243,3,3,22,0
1244,1,3,0,1
1245,1,3,0,1
1246,1,3,0,1
1247,1,3,0,1
1248,1,3,0,1
1249,1,3,0,1
1250,1,3,0,1
1251,3,3,0,1
1252,3,3,0,1
1253,3,3,0,1
1254,3,3,0,1
1255,3,3,0,1
1256,3,3,0,1
1257,3,3,0,1
1258,3,3,0,1
1259,1,3,0,1
1260,3,3,0,1
1261,1,3,0,1
1262,1,3,0,1
1263,1,3,0,1
1264,1,3,0,1
1265,1,3,0,1
1266,3,3,0,0
1267,1,3,0,1
1268,3,3,0,0
1269,3,3,0,1
1270,3,1,0,1
1271,3,3,13,0
1272,3,3,0,1
1273,1,3,0,1
1274,1,3,0,1
1275,3,3,0,1
1276,1,3,0,1
1277,1,3,0,1
1278,1,3,0,1
1279,3,3,0,1
1280,3,3,0,1
1281,3,3,0,1
1282,3,3,0,1
1283,3,3,0,1
1284,3,3,0,1
1285,3,3,0,1
1286,1,3,0,1
1288,3,3,0,1
1289,3,3,0,1
1290,3,3,0,1
1291,3,3,0,1
1292,3,3,0,1
1293,3,3,0,1
1294,1,3,0,1
1295,1,3,0,1
1296,1,3,0,1
1297,1,3,0,1
1298,1,3,0,1
1299,1,3,0,1
1300,1,3,0,1
1301,1,3,0,1
1302,3,3,22,0
1303,3,3,0,1
1304,3,3,0,0
1305,3,3,0,1
1306,3,3,0,1
1307,3,1,0,1
1308,3,3,13,0
1309,3,3,0,1
1310,1,3,0,1
1311,3,3,0,0
1312,1,3,0,1
1313,3,3,0,1
1314,1,3,0,1
1315,3,3,0,1
1316,3,3,0,0
1317,3,3,0,0
1318,3,3,22,0
1319,1,3,0,1
1320,1,3,0,1
1321,1,3,0,1
1322,1,3,0,1
1323,1,3,0,1
1324,1,3,0,1
1325,1,3,0,1
1326,1,3,0,1
1327,1,3,0,1
1328,1,3,0,1
1329,1,3,0,1
1330,1,3,0,1
1331,1,3,0,1
1332,1,3,0,1
1333,1,3,0,1
1334,3,3,0,1
1335,3,1,0,1
1336,1,3,0,1
1337,1,3,0,1
1338,1,3,0,1
1339,3,3,13,0
1340,1,3,0,1
1341,1,3,0,1
1342,1,3,0,1
1343,1,3,0,1
1344,3,3,0,1
1345,3,3,0,1
1346,1,3,0,1
1347,1,3,0,1
1348,1,3,0,1
1349,1,3,0,1
1350,1,1,0,1
1351,1,3,0,1
1352,3,3,0,1
1353,1,3,0,1
1354,1,3,0,1
1355,1,3,0,1
1356,1,3,0,1
1357,1,3,0,1
1358,1,3,0,1
1359,1,3,0,1
1360,1,3,0,1
1361,1,3,0,1
1362,1,1,0,1
1363,1,3,0,1
1364,1,1,0,1
1365,3,3,0,1
1366,1,3,0,1
1367,1,3,0,1
1368,1,1,0,1
1369,1,3,0,1
1370,1,3,0,1
1371,1,3,0,1
1372,1,3,0,1
1373,1,3,0,1
1374,1,3,0,1
1375,1,3,0,1
1376,1,3,0,1
1377,1,1,0,1
1378,1,3,0,1
1379,1,1,0,1
1380,1,3,0,1
1381,3,3,0,1
1382,1,3,0,1
1383,1,3,0,1
1384,1,3,0,1
