,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
39,3.9949003388400404,4.059804072722156,50.604546,-2.818761,19.202723,3.0277193
40,4.469957193007059,2.5571826609844286,46.671314,-4.381668,19.533276,3.1237774
41,4.596044217994743,2.1911370430917954,45.03438,-3.6080456,19.568752,3.1893783
42,4.251445545618176,2.059715345147934,53.047325,2.0026517,18.920752,3.5614562
43,1.5986728851048,-6.3307989889785965,13.8911915,8.498013,8.176504,7.413156
44,4.262590039787527,2.188802095922138,46.127857,-2.7568388,19.434956,3.1578667
45,4.616678660608153,2.862435459639475,43.538338,-2.9129093,19.59085,3.2128034
46,4.644200538325292,3.544960620033038,51.51702,-1.1746905,19.144106,3.1273081
47,4.414803489236426,2.454713432192533,43.538338,-2.9129093,19.590849,3.2128034
48,4.637780362498287,2.7180910922888715,43.418118,-3.6042576,19.666708,3.2154088
49,4.015295872543256,3.2036692948096954,45.03438,-3.608045,19.568752,3.1893783
50,4.55674545931219,3.0078213002741423,43.538338,-2.9129093,19.59085,3.2128034
51,3.5913360547129947,-0.47534434107492557,39.380997,35.27066,11.6120205,11.089498
52,2.907291909295669,-2.3228894452802566,-8.676794,5.696639,5.6509805,4.958671
53,3.3577750255967818,0.5603147522620936,34.58309,25.209179,13.87131,8.636375
54,4.254318191865227,1.3440284296079197,45.36779,-3.7086663,19.599218,3.204183
55,4.790115463584004,2.8664562926031105,43.538338,-2.9129093,19.59085,3.2128036
56,4.271962441115519,2.189790232047264,46.127857,-2.7568388,19.434956,3.1578665
57,4.566117807856505,3.008809621978752,43.538338,-2.9129093,19.59085,3.2128034
58,4.2608196360238155,2.0606975427295926,53.047325,2.0026517,18.920752,3.5614562
59,4.605416513755381,2.1921255503758883,45.03438,-3.608045,19.568754,3.1893783
60,4.479329541551373,2.558170982689038,45.03438,-3.608045,19.568752,3.1893785
61,4.004272792951707,4.060792023267799,47.03621,-1.7860695,19.329931,3.1822553
63,4.405746706091483,2.362044682274635,46.141808,-1.68188,19.402115,3.2770607
64,4.971056488197238,2.733478946697038,52.78368,3.8381112,18.759497,3.598004
65,4.721970319258695,-1.251991781836297,51.494713,0.05439205,19.23241,3.4644294
66,2.5459572475606573,-2.773434599754555,27.638372,12.34025,9.57081,8.102673
67,3.3400057302585653,-3.128748968320837,20.70629,20.353025,9.295258,10.654177
68,3.324309959004165,-3.130131813187799,20.70629,20.353025,9.295258,10.654177
69,2.13222053590951,-0.6895986916290582,28.429394,29.681961,10.506114,10.945028
70,2.5234875306539175,-1.2776729490712897,28.724453,28.939686,10.518283,10.803251
71,2.554579578582114,-1.2738542813487503,28.724453,28.939686,10.518282,10.803251
72,2.1633125838377065,-0.6857800239065188,27.812159,29.234045,10.4510975,10.854151
73,3.3554020069323616,-3.1263131454652595,23.192326,24.058743,9.590292,10.885254
74,2.1479161488128806,-0.6882152900236465,28.429394,29.681961,10.506114,10.945028
75,2.5640567027243306,-1.2732343349186215,26.696442,33.039387,10.470123,11.227179
76,2.1727897871554376,-0.685160355845615,27.812159,29.234045,10.4510975,10.854151
77,2.5708308859032143,-2.7703796655765234,21.027664,5.1430445,8.527114,7.39726
78,3.3648793686011222,-3.1256940341428057,23.192326,24.058744,9.590292,10.885254
79,3.3150054374841855,-3.131358604528533,20.70629,20.353025,9.295258,10.654177
80,2.5209570339617926,-2.776044514331476,27.638372,12.34025,9.57081,8.102673
81,2.1229160143895305,-0.6908254829697925,28.429394,29.681961,10.506114,10.945028
82,2.514183009133938,-1.278899740412024,28.724453,28.939686,10.518283,10.803251
83,2.561353603409968,-2.7709990552682022,27.638372,12.34025,9.57081,8.102673
84,2.5391830643817737,-1.276289269096653,28.724453,28.939686,10.518283,10.803251
85,2.5302615554817716,-2.7748177229907416,27.638372,12.34025,9.57081,8.102673
86,2.126091172386168,-0.6906754977620039,28.429394,29.681961,10.506114,10.945028
87,3.3336375733826236,-3.128986212871037,20.70629,20.353025,9.295258,10.654177
88,2.53958916986023,-2.77367212267398,27.638372,12.34025,9.57081,8.102673
89,2.1415481502879685,-0.6884530913122964,28.429394,29.681961,10.506114,10.945028
90,2.532815145032376,-1.276527348754528,28.724453,28.939686,10.518283,10.803251
91,3.330679778565917,-3.129900414391325,20.70629,20.353025,9.295258,10.654177
92,2.5366313750435237,-2.7745863241942677,27.638372,12.34025,9.57081,8.102673
93,2.529857350215669,-1.277441550274816,28.724453,28.939686,10.518283,10.803251
94,2.5017230971041795,-1.2803460164770673,28.724453,28.939686,10.518283,10.803251
95,2.517358167130576,-1.2787497552042353,28.724453,28.939686,10.518283,10.803251
96,2.110456102359772,-0.6922717590348358,28.429392,29.681965,10.506114,10.945029
97,2.5084971219320336,-2.777490790396519,25.704605,0.96628606,8.944055,5.4553404
98,3.302545525454427,-3.1328048805935764,24.179758,21.436008,9.636589,10.667726
99,2.1385903554712615,-0.6893672928325842,28.429394,29.681961,10.506114,10.945028
100,2.524132271133945,-2.775894807492912,27.638372,12.34025,9.57081,8.102673
101,3.3181806746563383,-3.1312088976899695,20.70629,20.353025,9.295258,10.654177
102,-2.7146111551145378,1.5712963959328314,-55.06316,-18.61456,3.657189,-1.2620144
103,-3.4136347692237226,2.5576305050830763,-60.280598,-17.33591,3.4956365,-1.2353122
104,-2.7052838574381375,1.5724431097264935,-52.022205,-20.310125,3.8206933,-1.2883067
105,-2.8574893992568806,3.1065594982546205,-60.280598,-17.33591,3.4956365,-1.2353122
106,-2.736298480196969,2.2171633417196976,-60.063354,-16.131496,3.46763,-1.2301104
107,-2.5002072405405755,2.209757883645503,-59.11687,-17.201508,3.5176551,-1.2269223
108,0.6590401613883936,-2.08223963581364,15.285771,3.2372665,4.32635,7.448111
109,-3.0993483183376656,1.84605895483636,-54.909264,-21.020601,3.8143947,-0.9747721
110,-0.4775728677948099,-1.370167584309796,6.0001,-39.329445,7.616365,-1.2111696
111,-2.539599080297554,2.300987140563418,-59.209637,-17.527983,3.5385137,-1.2358034
112,-3.3340526635816516,3.1441671904079933,-59.209637,-17.527983,3.5385137,-1.2358034
113,-4.1886049080426515,0.48538111787505284,-51.870888,-18.392866,3.1582868,-0.29390666
114,-3.991493790562288,3.182442422432727,-55.867786,-19.538239,3.5532775,-0.8201873
115,-4.197932601596626,0.48423579592751603,-51.870888,-18.392866,3.1582866,-0.29390666
116,-2.5978074194567373,2.2587053845244096,-59.209637,-17.527983,3.5385137,-1.2358034
117,0.18767247082598593,-2.65256070431906,8.970883,-33.478004,6.9423766,-1.7240231
118,0.019753365329247378,-1.6575046838970613,11.38113,-40.10123,7.19907,-1.243684
119,-0.30933721752999854,-2.2073243239687046,14.3370495,-38.295506,7.122996,-1.4952891
120,-2.7456262793182957,2.2160183909311275,-60.47889,-16.286728,3.4558003,-1.2241336
121,-2.5095350132700642,2.2086128400671914,-59.129955,-17.200369,3.5063362,-1.2212044
122,-3.3433803571356258,3.1430218684604565,-59.74589,-17.432018,3.516452,-1.2359912
123,0.63332066239722,-1.1601614086655145,15.876844,3.802547,4.264268,7.469526
124,0.9989320248229304,-1.0005830533647562,18.636387,5.0550303,4.191396,7.426196
125,1.0465503170766188,-1.3981810114560245,18.61138,4.8868937,4.2081037,7.434644
126,1.2566821794317313,-1.5465922522364532,16.579521,4.510486,4.2568293,7.451462
127,-2.8668171719863693,3.1054144546763087,-60.280598,-17.33591,3.4956365,-1.2353122
128,0.7164689296386646,-0.5975672950058084,18.741894,4.9911065,4.191129,7.423944
129,0.03922333902946117,-2.9185768173535642,15.541313,-28.17424,7.2545166,-2.2066708
130,-2.5989296806015516,-2.0070096069992776,-25.277573,16.900925,4.019848,3.9969375
131,-0.37350092848965083,-2.938508792601251,15.525827,-29.59721,7.175874,-2.183869
132,0.09782718132097735,-1.7525333738028743,12.449003,-41.891396,7.4259443,-1.3408638
133,-0.5286221805286528,-1.8615522204427624,9.943832,-39.24742,7.307026,-1.3685472
134,-0.05796294568931202,-2.466447698001689,14.366098,-30.54509,7.060637,-2.0851064
135,-0.2168862035038146,-1.4405357774102596,11.904613,-42.194923,7.3148537,-1.24593
136,-0.5387165503253846,-0.5316957774184479,-17.783041,-28.676838,7.3171067,2.3083088
137,-0.44464331283963904,-1.1371033920377183,3.1820471,-44.18198,7.735733,-0.6769415
138,0.6239928104922164,-1.161306173874601,16.79364,3.6865578,4.191588,7.4553223
139,-3.4229626475205643,2.556485832663731,-60.70445,-17.226524,3.472485,-1.2238367
140,0.19389095958714006,-2.6517972491437773,8.574161,-33.98167,6.910842,-1.6856617
141,0.025971854090401515,-1.6567412287217784,11.612185,-39.60961,7.17875,-1.3433164
142,-0.3031187287688444,-2.2065608687934217,14.3370495,-38.295506,7.122996,-1.4952891
143,-0.21066779391817528,-1.4397720438657517,11.904613,-42.194923,7.3148537,-1.24593
144,-0.05174453610367269,-2.465683964457181,12.08157,-32.371216,7.146003,-1.881752
145,-0.5224037973348519,-1.8607883941085128,11.004394,-42.41983,7.404046,-1.2742914
146,0.1040456700821315,-1.7517699186275915,10.326312,-40.438797,7.503279,-1.3470179
147,-0.36728236055298197,-2.937745615795193,15.525827,-29.59721,7.175874,-2.183869
148,-0.43842474490297006,-1.1363402152316606,3.1820474,-44.18198,7.735733,-0.6769416
149,0.045441986141644825,-2.917813918916732,16.900242,-29.301067,7.307532,-2.2421868
150,-0.47135445820917055,-1.3694038507652881,6.0001,-39.329445,7.616365,-1.2111696
151,-0.5324980087805542,-0.5309325078226483,-17.85223,-30.666555,7.552443,2.2262635
152,1.2629007473684004,-1.5458290754303956,17.789932,4.130825,4.176599,7.436991
153,1.0527688586214494,-1.397417741860225,18.61138,4.8868937,4.2081037,7.434644
154,1.0051505135840846,-0.9998195981894733,18.61138,4.8868937,4.2081037,7.434644
155,0.6395391247665357,-1.15939786070049,16.33065,4.0662317,4.2405944,7.458422
156,-2.5927111126648827,-2.0062464301932197,-25.277573,16.900925,4.019848,3.9969375
157,0.6652587293250625,-2.081476459007582,16.176905,2.5409734,4.2344856,7.451417
158,-0.5480444022303881,-0.5328405426275346,-15.307634,-27.884985,7.3182096,2.161309
159,0.7071410777336611,-0.5987120602148951,18.140059,4.767345,4.183407,7.4241347
160,1.247354406702243,-1.547737295814765,16.037035,4.3299026,4.2481446,7.458689
