,Anomaly_IsoForest,AnomalyScore_IsoForest,Anomaly_LOF,AnomalyScore_LOF,Anomaly_OCSVM,AnomalyScore_OCSVM
312,1,0.12210321193331736,1,0.4218271050847311,1,9.363497429749952
313,1,0.08361714563012534,1,0.35901235282737365,1,8.65778623356559
314,1,0.11304231419385646,1,0.39280327262674763,1,8.486153124526224
315,1,0.12657379812070274,1,0.4257196190163156,1,9.03123635527122
316,1,0.12185585807976934,1,0.415116470522076,1,8.899948299216145
317,1,0.11546094540749396,1,0.3574745873956795,1,8.294853303134795
318,1,0.12712734647827573,1,0.4065786567173988,1,8.006028095718564
319,1,0.10499087929790407,1,0.3278658973039177,1,7.443952568214205
320,1,0.07468904689824818,1,0.3666729614607511,1,5.011668568026972
321,1,0.10379517742119987,1,0.3936422178717278,1,6.692225871455147
322,1,0.11841611742501468,1,0.40801097202046255,1,8.280574170126483
323,1,0.09552741604057241,1,0.34836562093221524,1,7.653709073584262
324,1,0.12387600322914732,1,0.43973204645342634,1,8.707775152240256
325,1,0.12182920288884014,1,0.41495546493144775,1,9.046757732915
327,1,0.12889975389563324,1,0.4196687866115413,1,8.13742283429303
328,1,0.07822677704789816,1,0.3721335658769507,1,5.0915998173012795
329,1,0.10571603310337785,1,0.40641250591182665,1,6.791183911159048
330,1,0.11556779696586994,1,0.41375976953471594,1,8.41147170626125
331,1,0.09881024368761149,1,0.35858349261707523,1,7.7621032024344006
332,1,0.0985318661385623,1,0.3714003211381358,1,8.471913627097557
333,1,0.11073600878921835,1,0.37377822447380327,1,8.819895282738617
334,1,0.1064394552624956,1,0.3223170240442297,1,7.560789298343022
335,1,0.10583739172188733,1,0.4095110865554865,1,8.453352195889675
336,1,0.11308488980261383,1,0.3723998508241184,1,7.911595701460038
337,1,0.11361734256523565,1,0.41084947208902456,1,8.94627676168112
338,1,0.10457680539336511,1,0.3482494632100084,1,7.400172940027391
339,1,0.11943753235573307,1,0.4144620435350541,1,9.200172360226503
340,1,0.1271618932548978,1,0.42325451228515476,1,9.262267540118918
341,1,0.11433354270424162,1,0.4027516417626551,1,8.807420830828562
342,1,0.1160938816902885,1,0.38911322017696937,1,8.998233529851758
343,1,0.10407463035535736,1,0.25336862812919314,1,7.016653667555203
344,1,0.13097964958102537,1,0.4189982281956698,1,8.137944481965807
345,1,0.12317419431562926,1,0.4148453490769113,1,9.04765677659405
346,1,0.12098798526744209,1,0.4245516694939331,1,9.466242573385324
347,1,0.11866212984027574,1,0.37668075419970104,1,8.348447230292855
348,1,0.1172905841442054,1,0.35515551111081156,1,8.434987777321576
349,1,0.08632212229282765,1,0.2934485441648884,1,7.274138497916638
350,1,0.12492874291311906,1,0.4175389571548025,1,8.441894011619828
351,1,0.11683699961032074,1,0.39660763345423167,1,8.965715483730314
352,1,0.11665421811314797,1,0.35351617585217743,1,8.436674327548353
353,1,0.0868711673734528,1,0.30092410755634025,1,7.28347383900368
354,1,0.11916701690654696,1,0.3855803451681543,1,8.3978882305159
355,1,0.12192573407320784,1,0.4364300525205429,1,9.509041554816378
356,1,0.09465737654673112,-1,-0.08871139130836658,1,5.840344632757275
357,1,0.11577017104330434,1,0.393441532003066,1,8.605817223758669
358,1,0.12544898351194594,1,0.4413072430299658,1,8.847297282148475
359,1,0.12864574641839732,1,0.439429704058075,1,9.194972400204644
360,1,0.10525391541649765,1,0.39851604551376085,1,7.987830945007812
361,1,0.09198867531056931,-1,-0.08436986052771966,1,5.806895267807567
362,1,0.12550974804467285,1,0.40056557985010177,1,8.929395077925163
363,1,0.11578755205982766,1,0.40295853228683254,1,8.911555760673528
364,1,0.097402237712921,1,0.35833085763894146,1,7.718810414256607
365,1,0.09712285415488969,1,0.37087531853831046,1,8.434219971177788
366,1,0.10975684804081343,1,0.3629698589846626,1,8.786170051808975
367,1,0.10583739172188733,1,0.4027534357871836,1,8.398296132029643
368,1,0.1160938816902885,1,0.38504284362049934,1,8.954952245107718
369,1,0.11308488980261383,1,0.36949678263962427,1,7.885164674124895
370,1,0.11422034993056152,1,0.41276406389596976,1,8.370630255834016
371,1,0.11361734256523565,1,0.406226413462911,1,8.904838185558662
372,1,0.11943753235573307,1,0.4012253527713998,1,9.15308392605333
373,1,0.1271618932548978,1,0.41785840928196105,1,9.22230983232684
374,1,0.11433354270424162,1,0.40651179445968966,1,8.761728750127183
375,1,0.10282073585879042,1,0.2633106697449199,1,6.973330329235119
376,1,0.1250418187556131,1,0.399709507964096,1,8.886301677032165
377,1,0.057045038242969026,1,0.10925316798429807,1,5.798680623891009
378,1,0.10457680539336511,1,0.33906688862878753,1,7.346994241676859
379,1,0.05844778405459289,1,0.09331820101890176,1,5.8470129225735334
380,1,0.10522258263345652,1,0.4016271326689411,1,6.755734609492422
381,1,0.10560337668328651,1,0.3112366307182901,1,7.52353515342969
382,1,0.12295451463960327,1,0.42498297478899716,1,8.399334687006716
383,1,0.12357140617379886,1,0.40409798255736296,1,8.403088263172744
384,1,0.11683699961032074,1,0.3986736904791228,1,8.930723886212643
385,1,0.0868711673734528,1,0.29101580108666236,1,7.231775631420558
386,1,0.10442816521244147,1,0.4075010936967953,1,7.9386373941421
387,1,0.11845496698952579,1,0.3810855681667096,1,8.364329985492533
388,1,0.07563121982504789,1,0.37139301966632177,1,5.067094339297253
389,1,0.1209931498293334,1,0.4304665240342632,1,9.46210567831266
390,1,0.11528968395461453,1,0.39009891171564415,1,8.558536553871527
