KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,date,count
1,0,9,1,1,1,1,2020-02-07,35
1,0,9,1,1,1,1,2020-05-07,18
1,0,9,1,1,1,1,2020-06-07,14
1,0,10,1,1,1,1,2020-01-07,6
1,0,11,1,1,1,1,2020-01-07,48
1,0,12,1,1,1,1,2020-01-07,6
1,0,13,1,1,1,-1,2020-01-07,6
1,0,14,1,1,1,-1,2020-01-07,2
1,0,14,1,1,1,1,2020-01-07,4
1,0,15,1,1,1,1,2020-01-07,6
1,0,16,1,1,1,1,2020-01-07,6
1,0,17,1,1,1,1,2020-01-07,6
1,0,18,2,1,-1,-1,2020-01-07,6
1,0,19,1,1,-1,1,2020-01-07,6
1,0,20,1,1,1,1,2020-01-08,5
1,0,21,1,1,-1,1,2020-08-20,4
1,0,21,1,1,-1,1,2020-05-07,2
1,0,21,1,1,-1,1,2020-08-23,2
1,0,21,1,1,-1,1,2020-08-22,1
1,0,21,1,1,1,1,2020-05-09,336
1,0,21,1,1,1,1,2020-07-14,260
1,0,21,1,1,1,1,2020-07-24,260
1,0,21,1,1,1,1,2020-07-19,207
1,0,21,1,1,1,1,2020-07-15,190
1,0,21,1,1,1,1,2020-07-08,182
1,0,21,1,1,1,1,2020-07-27,168
1,0,21,1,1,1,1,2020-07-26,160
1,0,21,1,1,1,1,2020-08-21,160
1,0,21,1,1,1,1,2020-07-25,156
1,0,21,1,1,1,1,2020-07-29,154
1,0,21,1,1,1,1,2020-06-09,147
1,0,21,1,1,1,1,2020-07-30,142
1,0,21,1,1,1,1,2020-07-13,140
1,0,21,1,1,1,1,2020-07-16,138
1,0,21,1,1,1,1,2020-03-09,126
1,0,21,1,1,1,1,2020-06-08,120
1,0,21,1,1,1,1,2020-08-08,120
1,0,21,1,1,1,1,2020-08-19,120
1,0,21,1,1,1,1,2020-08-09,119
1,0,21,1,1,1,1,2020-05-08,114
1,0,21,1,1,1,1,2020-07-18,114
1,0,21,1,1,1,1,2020-01-08,113
1,0,21,1,1,1,1,2020-07-22,113
1,0,21,1,1,1,1,2020-05-07,111
1,0,21,1,1,1,1,2020-06-07,109
1,0,21,1,1,1,1,2020-07-31,107
1,0,21,1,1,1,1,2020-07-23,99
1,0,21,1,1,1,1,2020-07-09,90
1,0,21,1,1,1,1,2020-07-20,90
1,0,21,1,1,1,1,2020-08-18,88
1,0,21,1,1,1,1,2020-08-25,85
1,0,21,1,1,1,1,2020-02-08,84
1,0,21,1,1,1,1,2020-08-17,84
1,0,21,1,1,1,1,2020-04-09,78
1,0,21,1,1,1,1,2020-07-28,77
1,0,21,1,1,1,1,2020-07-07,75
1,0,21,1,1,1,1,2020-08-13,72
1,0,21,1,1,1,1,2020-08-16,72
1,0,21,1,1,1,1,2020-08-23,72
1,0,21,1,1,1,1,2020-04-08,71
1,0,21,1,1,1,1,2020-08-20,68
1,0,21,1,1,1,1,2020-08-22,67
1,0,21,1,1,1,1,2020-04-07,58
1,0,21,1,1,1,1,2020-08-07,56
1,0,21,1,1,1,1,2020-07-17,54
1,0,21,1,1,1,1,2020-08-14,40
1,0,21,1,1,1,1,2020-08-24,32
1,0,21,1,1,1,1,2020-07-21,24
1,0,21,1,1,1,1,2020-02-07,21
1,0,21,1,1,1,1,2020-03-08,18
1,0,21,1,1,1,1,2020-08-15,12
1,0,21,1,1,1,1,2020-01-09,6
1,0,21,1,1,1,1,2020-08-26,1
1,0,21,2,1,1,1,2020-07-24,10
1,0,21,2,1,1,1,2020-01-08,5
1,0,21,2,1,1,1,2020-04-08,1
1,0,22,1,1,1,1,2020-01-08,6
1,0,23,1,1,-1,1,2020-01-08,5
1,0,24,1,1,1,1,2020-01-08,5
1,0,25,1,1,-1,1,2020-01-08,6
1,0,26,1,1,1,1,2020-01-08,5
1,0,27,1,1,1,1,2020-01-08,6
1,0,28,1,1,1,1,2020-01-08,6
1,0,29,1,1,1,1,2020-01-08,6
1,0,30,1,1,1,1,2020-01-08,6
1,0,31,2,1,-1,1,2020-01-09,6
1,0,32,1,1,-1,1,2020-01-09,1
1,0,32,1,1,1,1,2020-01-09,5
1,0,33,2,1,-1,-1,2020-01-09,6
1,0,34,2,-1,1,-1,2020-01-09,6
1,0,35,2,-1,1,-1,2020-01-09,5
1,0,35,2,-1,1,1,2020-01-09,1
1,0,36,2,-1,1,1,2020-01-09,3
1,0,36,2,1,1,1,2020-01-09,3
1,0,37,2,1,1,-1,2020-01-09,6
1,0,38,2,-1,-1,-1,2020-01-09,6
1,0,39,2,1,1,1,2020-01-09,6
1,0,40,1,1,1,1,2020-01-09,6
1,0,41,2,1,1,1,2020-01-09,12
1,0,42,1,1,1,1,2020-01-09,18
1,0,43,1,1,1,1,2020-01-09,54
1,0,43,1,1,1,1,2020-02-09,48
1,0,44,1,1,-1,-1,2020-01-09,1
1,0,44,1,1,1,-1,2020-01-09,1
1,0,44,1,1,1,1,2020-01-09,4
1,0,45,1,1,1,1,2020-01-09,6
1,0,46,2,1,-1,1,2020-01-09,6
1,0,47,2,1,1,1,2020-01-09,6
1,0,48,1,1,1,1,2020-01-10,8
1,0,49,1,1,1,1,2020-01-10,8
1,0,50,2,1,1,-1,2020-01-10,1
1,0,50,2,1,1,1,2020-01-10,7
1,0,51,1,1,1,1,2020-01-10,8
1,0,52,1,1,1,1,2020-01-10,8
1,0,53,1,1,1,1,2020-01-10,24
1,0,54,1,1,1,1,2020-01-10,8
1,0,55,1,1,1,1,2020-01-10,8
1,0,56,1,1,1,1,2020-01-10,52
1,0,57,2,1,1,1,2020-01-10,8
1,0,58,1,1,1,1,2020-01-10,8
1,0,59,1,1,1,1,2020-01-10,8
1,0,60,2,1,1,1,2020-01-10,8
1,0,61,2,1,1,1,2020-01-10,8
1,0,62,1,1,1,1,2020-01-10,8
1,0,63,1,1,1,1,2020-01-10,63
1,0,63,1,1,1,1,2020-04-09,36
1,0,63,1,1,1,1,2020-03-08,27
1,0,63,1,1,1,1,2020-08-26,20
1,0,63,1,1,1,1,2020-08-09,7
1,0,63,2,1,1,1,2020-03-08,44
1,0,64,1,1,1,1,2020-05-19,204
1,0,64,1,1,1,1,2020-05-28,203
1,0,64,1,1,1,1,2020-05-24,174
1,0,64,1,1,1,1,2020-03-05,172
1,0,64,1,1,1,1,2020-05-23,167
1,0,64,1,1,1,1,2020-05-17,165
1,0,64,1,1,1,1,2020-05-29,147
1,0,64,1,1,1,1,2020-05-25,91
1,0,64,1,1,1,1,2020-05-13,85
1,0,64,1,1,1,1,2020-05-21,84
1,0,64,1,1,1,1,2020-05-31,72
1,0,64,1,1,1,1,2020-05-14,65
1,0,64,1,1,1,1,2020-05-16,65
1,0,64,1,1,1,1,2020-05-20,60
1,0,64,1,1,1,1,2020-05-27,52
1,0,64,1,1,1,1,2020-02-05,41
1,0,64,1,1,1,1,2020-05-30,16
1,0,64,2,1,1,1,2020-05-20,60
1,0,64,2,1,1,1,2020-05-19,12
1,0,64,2,1,1,1,2020-03-05,8
1,0,64,2,1,1,1,2020-05-24,6
1,0,64,2,1,1,1,2020-05-14,5
1,0,64,2,1,1,1,2020-05-16,5
1,0,65,2,1,1,1,2020-02-05,12
1,0,66,2,-1,1,-1,2020-02-05,6
1,0,67,2,-1,1,-1,2020-02-05,6
1,0,68,2,-1,-1,-1,2020-02-05,6
1,0,69,2,-1,1,-1,2020-02-05,6
1,0,70,2,-1,1,-1,2020-02-05,6
1,0,72,2,1,1,-1,2020-02-07,2
1,0,72,2,1,1,1,2020-02-07,5
1,0,73,1,1,-1,1,2020-02-07,2
1,0,73,1,1,1,1,2020-02-07,5
1,0,74,1,1,1,1,2020-04-07,10
1,0,74,1,1,1,1,2020-02-07,7
1,0,83,1,1,-1,1,2020-02-08,2
1,0,83,1,1,1,1,2020-02-08,4
1,0,84,1,1,1,1,2020-02-08,6
1,0,85,1,1,1,1,2020-02-08,12
1,0,86,1,1,1,1,2020-02-08,6
1,0,87,1,1,1,1,2020-02-08,6
1,0,88,1,1,-1,-1,2020-02-08,4
1,0,88,1,1,-1,1,2020-02-08,2
1,0,89,1,1,1,1,2020-02-08,18
1,0,90,1,1,1,1,2020-02-08,6
1,0,91,1,1,1,1,2020-02-08,6
1,0,92,1,1,1,1,2020-02-08,6
1,0,93,1,1,1,1,2020-07-17,144
1,0,93,1,1,1,1,2020-07-15,60
1,0,93,1,1,1,1,2020-07-13,56
1,0,93,1,1,1,1,2020-03-08,45
1,0,93,1,1,1,1,2020-07-07,30
1,0,93,1,1,1,1,2020-08-07,7
1,0,93,1,1,1,1,2020-02-08,6
1,0,93,1,1,1,1,2020-04-08,6
1,0,94,1,1,1,1,2020-02-08,6
1,0,95,2,1,1,1,2020-02-08,6
1,0,96,1,1,-1,1,2020-02-08,1
1,0,96,1,1,1,1,2020-02-08,5
1,0,97,1,1,1,1,2020-02-09,8
1,0,98,2,1,1,1,2020-02-09,40
1,0,98,2,1,1,1,2020-06-09,28
1,0,98,2,1,1,1,2020-04-09,22
1,0,98,2,1,1,1,2020-03-09,12
1,0,99,2,1,-1,-1,2020-02-09,7
1,0,99,2,1,-1,1,2020-02-09,1
1,0,100,1,1,-1,-1,2020-02-09,7
1,0,100,1,1,-1,1,2020-02-09,1
1,0,101,1,1,1,1,2020-02-10,18
1,0,102,2,1,1,1,2020-03-05,5
1,0,103,2,1,1,1,2020-03-05,5
1,0,104,2,1,-1,1,2020-03-05,1
1,0,104,2,1,1,1,2020-03-05,4
1,0,105,2,1,-1,-1,2020-03-05,3
1,0,105,2,1,-1,1,2020-03-05,2
1,0,106,2,-1,-1,-1,2020-03-05,5
1,0,107,1,1,-1,-1,2020-03-05,5
1,0,108,2,1,-1,1,2020-03-05,2
1,0,108,2,1,1,1,2020-03-05,3
1,0,109,1,1,1,-1,2020-03-07,2
1,0,109,1,1,1,1,2020-03-07,16
1,0,110,1,1,1,1,2020-03-07,15
1,0,111,1,1,1,1,2020-03-07,15
1,0,112,1,1,1,-1,2020-03-07,3
1,0,112,1,1,1,1,2020-03-07,15
1,0,113,1,1,1,1,2020-04-07,55
1,0,113,1,1,1,1,2020-03-07,9
1,0,114,1,1,1,1,2020-03-07,6
1,0,115,2,1,1,-1,2020-03-08,29
1,0,115,2,1,1,1,2020-03-08,16
1,0,116,1,1,1,1,2020-03-08,45
1,0,117,1,1,1,1,2020-03-08,9
1,0,118,1,1,1,1,2020-03-08,18
1,0,119,1,1,1,1,2020-03-08,9
1,0,120,1,1,1,1,2020-03-08,9
1,0,121,1,1,1,1,2020-03-08,9
1,0,122,1,1,1,1,2020-03-08,9
1,0,123,1,1,1,1,2020-03-08,9
1,0,124,2,1,1,1,2020-03-08,6
1,0,125,2,1,1,1,2020-03-09,12
1,0,126,1,1,1,1,2020-03-09,12
1,0,127,1,1,1,1,2020-04-07,5
1,0,128,1,1,1,1,2020-04-07,5
1,0,129,1,1,-1,-1,2020-04-07,5
1,0,130,1,-1,-1,-1,2020-04-07,1
1,0,130,1,1,-1,-1,2020-04-07,4
1,0,131,1,1,1,1,2020-04-07,5
1,0,132,1,1,1,1,2020-04-07,5
1,0,133,1,1,1,1,2020-04-07,5
1,0,135,1,1,-1,-1,2020-04-07,5
1,0,136,1,1,1,1,2020-04-07,5
1,0,137,1,1,1,1,2020-04-07,9
1,0,138,1,1,1,1,2020-04-08,5
1,0,139,2,1,-1,1,2020-04-08,4
1,0,139,2,1,1,1,2020-04-08,1
1,0,140,1,1,-1,-1,2020-04-08,1
1,0,140,1,1,1,-1,2020-04-08,4
1,0,141,1,1,1,1,2020-04-08,5
1,0,142,1,1,1,1,2020-04-08,5
1,0,143,1,1,1,1,2020-04-08,5
1,0,144,1,1,1,1,2020-04-08,5
1,0,145,1,1,-1,-1,2020-04-08,5
1,0,146,1,1,-1,-1,2020-04-08,3
1,0,146,1,1,-1,1,2020-04-08,2
1,0,147,2,1,1,1,2020-04-09,30
1,0,148,2,1,1,1,2020-04-09,6
1,0,149,2,1,1,1,2020-04-09,5
1,0,150,2,1,-1,-1,2020-04-09,5
1,0,162,1,1,1,1,2020-07-24,20
1,0,162,1,1,1,1,2020-05-07,18
1,0,163,1,1,1,1,2020-05-07,5
1,0,164,2,1,1,1,2020-05-07,5
1,0,165,1,1,1,1,2020-05-07,5
1,0,166,1,1,1,1,2020-05-07,5
1,0,167,1,1,-1,1,2020-05-07,5
1,0,168,1,1,1,1,2020-05-07,5
1,0,169,1,1,1,1,2020-05-07,5
1,0,170,1,1,1,1,2020-05-08,12
1,0,171,1,1,-1,-1,2020-05-08,2
1,0,171,1,1,-1,1,2020-05-08,3
1,0,172,1,1,-1,1,2020-05-08,1
1,0,172,1,1,1,1,2020-05-08,11
1,0,173,1,1,1,1,2020-05-08,5
1,0,174,2,1,-1,1,2020-05-08,5
1,0,175,1,1,-1,1,2020-05-08,1
1,0,175,1,1,1,1,2020-05-08,4
1,0,176,1,1,1,1,2020-05-08,5
1,0,177,1,1,1,1,2020-05-08,5
1,0,178,1,1,1,1,2020-05-08,5
1,0,179,2,1,-1,1,2020-05-08,5
1,0,180,1,1,-1,-1,2020-05-08,5
1,0,181,1,1,1,1,2020-05-09,12
1,0,182,1,1,1,1,2020-05-09,12
1,0,183,1,1,1,1,2020-05-09,12
1,0,184,1,1,1,1,2020-05-09,12
1,0,185,1,1,1,1,2020-05-09,12
1,0,186,1,1,1,1,2020-05-09,12
1,0,187,1,1,1,-1,2020-05-09,12
1,0,188,1,1,1,1,2020-05-09,12
1,0,189,1,1,-1,-1,2020-05-09,1
1,0,189,1,1,-1,1,2020-05-09,11
1,0,190,1,1,-1,1,2020-05-13,5
1,0,191,1,1,1,1,2020-05-13,50
