DBSCAN,count,mean,std,min,25%,50%,75%,max
68,6.0,-0.01360393516666667,0.03440094062420296,-0.034838436,-0.034686668749999996,-0.0293417115,-0.0106936885,0.05284425
69,8.0,0.04213226056833918,0.024248835342567072,0.0143671802537147,0.027005231053255703,0.03390373039798335,0.067612558,0.073970215
70,8.0,0.04123545568476919,0.02425021380730582,0.0135062475354927,0.02607255412994155,0.0329765722114473,0.06672955,0.073087207
71,8.0,0.041540369050485686,0.02425518868642344,0.0137821875092818,0.026395403473650925,0.033302181,0.067027565,0.073396259
72,8.0,0.04183148586814664,0.024238035152666197,0.0140912402799256,0.026704456416311875,0.0335946775,0.067303505,0.073661162
73,8.0,0.03879062724456142,0.02420643608590499,0.0112545773493736,0.023600131635508625,0.03044344303254165,0.064268165,0.070625822
74,8.0,0.038195976651878266,0.024200528657205032,0.010636471808086,0.023015139032265274,0.0298308563848562,0.063661097,0.070051867
75,8.0,0.03849813092063751,0.024207331300176774,0.010945525,0.023307635091275026,0.030134389999999997,0.06397015,0.07036092
76,8.0,0.0409181246137222,0.024235963515369503,0.0132082323638005,0.025755223136494275,0.032656482,0.066387384,0.072778154
77,16.0,0.03818769846623983,0.02338440168469748,0.0100183662667984,0.022656417066339425,0.0298308562907298,0.06334928525,0.070625822
78,8.0,0.031251947380967746,0.034936936719012934,-0.031284329,0.0118368106940686,0.0283076677295403,0.064886271,0.071243928
79,8.0,0.042446831925646814,0.024274761355712642,0.0146320826285522,0.027330840222326853,0.03420726436915135,0.067954723,0.07431238
80,8.0,0.0406063122985659,0.024236647602468325,0.0129322923900114,0.0254378920021336,0.0323363915050093,0.066078331,0.072469101
81,8.0,0.03999510532739786,0.02422507923282392,0.0123804124424331,0.024805989462156525,0.03170172933593815,0.065460226,0.071862033
82,8.0,0.03968605266663679,0.024227665428892573,0.0121155100675956,0.024488658566374673,0.0313761205,0.065162211,0.07155298
83,8.0,0.04030139875198335,0.02423124873681934,0.0126563524162223,0.0251288392314898,0.03202733857621745,0.065769279,0.072160048
84,8.0,0.037893822250557686,0.02419302982352624,0.0103274190374422,0.02271712386057305,0.02952732223763645,0.063352044,0.069742814
85,16.0,0.024447957289631925,0.04396446895281222,-0.074750394,0.019267874115942524,0.02625467432454935,0.05993866692498545,0.067126903
