DBSCAN,RUL_class,count
292,Healthy,6
292,Medium,4
292,Low,2
293,Healthy,15
293,Low,10
293,Medium,5
294,Healthy,3
294,Low,2
294,Medium,1
295,Healthy,3
295,Low,2
295,Medium,1
296,Healthy,3
296,Low,2
296,Medium,1
297,Healthy,3
297,Low,2
297,Medium,1
298,Healthy,6
298,Critical,4
298,Low,2
299,Healthy,6
299,Critical,4
299,Low,1
299,Medium,1
300,Healthy,3
300,Critical,2
300,Medium,1
301,Healthy,79
302,Healthy,6
303,Healthy,12
304,Healthy,6
305,Healthy,6
306,Healthy,6
307,Healthy,6
308,Healthy,6
309,Healthy,6
310,Healthy,6
311,Healthy,6
312,Healthy,6
313,Healthy,6
314,Healthy,6
315,Healthy,6
316,Healthy,6
317,Healthy,6
318,Healthy,6
319,Healthy,6
320,Healthy,6
321,Healthy,6
322,Healthy,6
323,Healthy,6
324,Healthy,6
325,Healthy,5
325,Critical,1
326,Healthy,12
327,Healthy,6
328,Healthy,6
329,Healthy,6
330,Healthy,6
331,Healthy,6
332,Healthy,6
333,Healthy,6
334,Healthy,6
335,Healthy,12
336,Healthy,6
337,Healthy,6
338,Healthy,6
339,Healthy,6
340,Healthy,12
341,Healthy,6
342,Healthy,6
343,Healthy,6
344,Healthy,6
345,Healthy,6
346,Healthy,6
347,Healthy,6
348,Healthy,6
349,Healthy,12
350,Healthy,6
351,Healthy,5
351,Medium,1
352,Healthy,5
352,Medium,1
353,Healthy,5
353,Low,1
354,Healthy,5
354,Low,1
355,Healthy,5
355,Low,1
356,Healthy,5
356,Medium,1
357,Healthy,6
358,Healthy,30
358,Medium,6
359,Healthy,5
359,Medium,1
360,Healthy,5
360,Medium,1
361,Healthy,5
361,Low,1
362,Healthy,5
362,Medium,1
363,Healthy,5
363,Medium,1
364,Healthy,5
364,Medium,1
365,Healthy,5
365,Medium,1
366,Critical,6
367,Healthy,10
367,Low,1
367,Critical,1
368,Healthy,10
368,Critical,2
369,Healthy,5
369,Critical,1
370,Healthy,5
370,Critical,1
371,Healthy,5
371,Low,1
372,Healthy,20
372,Low,4
373,Healthy,5
373,Critical,1
374,Healthy,7
374,Critical,4
374,Medium,1
375,Healthy,12
376,Healthy,7
376,Critical,4
376,Medium,1
377,Healthy,7
377,Critical,4
377,Medium,1
378,Healthy,7
378,Critical,4
378,Medium,1
379,Healthy,8
379,Critical,4
380,Healthy,8
380,Low,4
381,Healthy,8
381,Low,4
