RUL_class,time_temperature_measurement1,count
Critical,17:07:00,5
Critical,17:38:00,5
Critical,14:48:00,5
Critical,12:31:00,5
Critical,14:49:00,5
Critical,9:24:00,5
Critical,5:05:00,5
Critical,0:31:00,5
Critical,23:48:00,5
Critical,22:17:00,5
Critical,21:21:00,5
Critical,5:06:00,5
Critical,14:08:00,5
Critical,13:53:00,5
Critical,8:11:00,5
Critical,20:17:00,5
Critical,15:50:00,5
Critical,16:40:00,5
Critical,1:21:00,5
Critical,0:44:00,5
Critical,4:21:00,5
Critical,5:54:00,5
Critical,3:34:00,5
Critical,2:49:00,5
Critical,7:28:00,5
Critical,6:42:00,5
Critical,11:47:00,5
Critical,4:24:00,5
Critical,13:13:00,5
Critical,18:07:00,5
Critical,5:56:00,5
Critical,21:05:00,5
Critical,4:05:00,5
Critical,5:17:00,5
Critical,3:50:00,5
Critical,4:36:00,5
Critical,4:31:00,5
Critical,0:28:00,5
Critical,5:52:00,5
Critical,7:10:00,5
Critical,18:32:00,4
Critical,0:47:00,4
Critical,6:07:00,4
Critical,5:29:00,4
Critical,15:45:00,4
Critical,21:15:00,4
Critical,5:09:00,4
Critical,5:49:00,4
Critical,11:50:00,4
Critical,7:05:00,4
Critical,0:48:00,4
Critical,7:44:00,4
Critical,2:37:00,4
Critical,12:01:00,4
Critical,14:00:00,4
Critical,23:33:00,4
Critical,22:53:00,4
Critical,18:27:00,4
Critical,17:01:00,4
Critical,23:22:00,4
Critical,16:05:00,4
Critical,19:53:00,4
Critical,22:37:00,4
Critical,11:11:00,4
Critical,17:17:00,4
Critical,16:37:00,4
Critical,13:56:00,4
Critical,5:57:00,4
Critical,9:09:00,4
Critical,13:54:00,4
Critical,13:29:00,4
Critical,5:43:00,4
Critical,23:42:00,4
Critical,22:24:00,4
Critical,21:43:00,4
Critical,21:02:00,4
Critical,10:16:00,4
Critical,10:57:00,4
Critical,11:39:00,4
Critical,14:22:00,4
Critical,15:42:00,4
Critical,19:04:00,4
Critical,20:22:00,4
Critical,13:39:00,4
Critical,3:19:00,4
Critical,16:06:00,4
Critical,17:43:00,4
Critical,2:26:00,4
Critical,21:45:00,4
Critical,14:53:00,4
Critical,16:29:00,4
Critical,11:04:00,4
Critical,11:49:00,4
Critical,5:36:00,4
Critical,22:18:00,4
Critical,14:29:00,4
Critical,6:56:00,4
Critical,3:21:00,4
Critical,15:13:00,4
Critical,16:53:00,4
Critical,6:14:00,4
Critical,17:44:00,4
Critical,10:41:00,4
Critical,15:33:00,4
Critical,14:17:00,4
Critical,11:28:00,4
Critical,15:46:00,4
Critical,13:34:00,4
Critical,18:44:00,4
Critical,19:27:00,4
Critical,12:47:00,4
Critical,20:33:00,4
Critical,13:37:00,4
Critical,10:47:00,4
Critical,13:06:00,4
Critical,5:58:00,4
Critical,15:00:00,4
Critical,11:30:00,4
Critical,16:49:00,4
Critical,23:51:00,4
Critical,16:41:00,4
Critical,11:09:00,4
Critical,10:27:00,4
Critical,21:39:00,4
Critical,20:58:00,4
Critical,23:52:00,4
Critical,17:31:00,4
Critical,16:10:00,4
Critical,1:56:00,4
Critical,1:12:00,4
Critical,19:41:00,4
Critical,21:35:00,4
Critical,23:58:00,4
Critical,12:34:00,4
Critical,0:07:00,4
Critical,20:29:00,4
Critical,4:50:00,4
Critical,23:43:00,4
Critical,16:57:00,4
Critical,20:30:00,4
Critical,13:58:00,4
Critical,0:43:00,4
Critical,1:26:00,4
Critical,21:14:00,4
Critical,21:19:00,3
Critical,19:58:00,3
Critical,19:18:00,3
Critical,0:00:01,3
Critical,18:37:00,3
Critical,23:21:00,3
Critical,11:10:00,3
Critical,13:46:00,3
Critical,14:32:00,3
Critical,1:22:00,3
Critical,2:02:00,3
Critical,2:42:00,3
Critical,4:44:00,3
Critical,5:24:00,3
Critical,0:02:00,3
Critical,23:54:00,3
Critical,4:12:00,3
Critical,5:34:00,3
Critical,3:07:00,3
Critical,5:27:00,3
Critical,4:01:00,3
Critical,6:21:00,3
Critical,8:51:00,3
Critical,23:26:00,3
Critical,8:43:00,3
Critical,9:32:00,3
Critical,2:31:00,3
Critical,4:19:00,3
Critical,19:09:00,3
Critical,2:57:00,3
Critical,0:46:00,3
Critical,1:36:00,3
Critical,5:38:00,3
Critical,21:53:00,3
Critical,20:25:00,3
Critical,0:33:00,3
Critical,14:02:00,3
Critical,20:52:00,3
Critical,20:07:00,3
Critical,13:45:00,3
Critical,12:51:00,3
Critical,10:46:00,3
Critical,4:59:00,3
Critical,7:08:00,3
Critical,5:42:00,3
Critical,8:36:00,3
Critical,12:09:00,3
Critical,2:46:00,3
Critical,9:58:00,3
Critical,18:34:00,3
Critical,11:24:00,3
Critical,1:54:00,3
Critical,17:08:00,3
Critical,21:42:00,3
Critical,20:09:00,3
Critical,18:36:00,3
Critical,17:49:00,3
Critical,7:06:00,3
Critical,20:34:00,3
Critical,14:04:00,3
Critical,12:03:00,3
Critical,10:04:00,3
Critical,8:06:00,3
Critical,13:14:00,3
Critical,13:19:00,3
Critical,22:29:00,3
Critical,9:30:00,3
Critical,17:30:00,3
Critical,17:32:00,3
Critical,15:18:00,3
Critical,13:11:00,3
Critical,1:07:00,3
Critical,3:58:00,3
Critical,6:47:00,3
Critical,17:13:00,3
Critical,15:54:00,3
Critical,1:00:00,3
Critical,15:23:00,3
Critical,18:24:00,3
Critical,0:12:00,3
Critical,13:17:00,3
Critical,15:14:00,3
Critical,16:33:00,3
Critical,16:02:00,3
Critical,11:13:00,3
Critical,9:13:00,3
Critical,8:34:00,3
Critical,7:54:00,3
Critical,12:06:00,3
Critical,15:38:00,3
Critical,18:19:00,3
Critical,10:44:00,3
Critical,14:54:00,3
Critical,16:16:00,3
Critical,2:34:00,3
Critical,2:22:00,3
Critical,23:16:00,3
Critical,0:09:00,3
Critical,22:32:00,3
Critical,14:52:00,3
Critical,21:23:00,3
Critical,6:43:00,3
Critical,7:35:00,3
Critical,0:37:00,3
Critical,0:34:00,3
Critical,2:58:00,2
Critical,6:06:00,2
Critical,14:26:00,2
Critical,7:17:00,2
Critical,8:37:00,2
Critical,12:23:00,2
Critical,13:26:00,2
Critical,1:05:00,2
Critical,17:35:00,2
Critical,2:16:00,2
Critical,0:15:00,2
Critical,7:22:00,2
Critical,8:09:00,2
Critical,12:25:00,2
Critical,14:13:00,2
Critical,11:31:00,2
Critical,17:42:00,2
Critical,18:38:00,2
Critical,15:05:00,2
Critical,8:49:00,2
Critical,10:37:00,2
Critical,0:24:00,2
Critical,21:27:00,2
Critical,7:57:00,2
Critical,23:27:00,2
Critical,17:26:00,2
Critical,16:56:00,2
Critical,9:38:00,2
Critical,8:13:00,2
Critical,6:50:00,2
Critical,12:43:00,2
Critical,0:51:00,2
Critical,19:34:00,2
Critical,7:14:00,2
Critical,21:01:00,2
Critical,11:34:00,2
Critical,20:18:00,2
Critical,12:17:00,2
Critical,10:08:00,2
Critical,7:19:00,2
Critical,8:42:00,2
Critical,9:22:00,2
Critical,14:01:00,2
Critical,0:32:00,2
Critical,1:13:00,2
Critical,8:38:00,2
Critical,9:19:00,2
Critical,10:38:00,2
Critical,0:49:00,2
Critical,22:38:00,2
Critical,18:39:00,2
Critical,21:04:00,2
Critical,20:16:00,2
Critical,19:28:00,2
Critical,16:18:00,2
Critical,2:27:00,2
Critical,18:01:00,2
Critical,6:13:00,2
Critical,4:57:00,2
Critical,22:28:00,2
Critical,20:26:00,2
