IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
1,1,1,2:15:00,40
1,1,1,19:20:00,39
1,1,1,13:10:00,39
1,1,1,4:40:00,39
1,1,1,19:30:00,38
1,1,1,1:58:00,38
1,1,1,9:35:00,38
1,1,1,20:05:00,37
1,1,1,4:20:00,37
1,1,1,4:55:00,37
1,1,1,10:40:00,37
1,1,1,3:00:00,37
1,1,1,6:45:00,36
1,1,1,17:05:00,36
1,1,1,20:40:00,36
1,1,1,3:35:00,36
1,1,1,20:45:00,36
1,1,1,3:20:00,36
1,1,1,15:10:00,36
1,1,1,13:25:00,36
1,1,1,11:05:00,36
1,1,1,18:45:00,35
1,1,1,17:45:00,35
1,1,1,15:00:00,35
1,1,1,12:30:00,35
1,1,1,15:55:00,35
1,1,1,18:10:00,35
1,1,1,12:10:00,35
1,1,1,20:50:00,35
1,1,1,21:30:00,35
1,1,1,12:15:00,34
1,1,1,0:10:00,34
1,1,1,16:05:00,34
1,1,1,2:10:00,34
1,1,1,6:20:00,34
1,1,1,17:10:00,34
1,1,1,0:25:00,34
1,1,1,18:00:00,33
1,1,1,14:55:00,33
1,1,1,15:25:00,33
1,1,1,8:15:00,33
1,1,1,15:20:00,33
1,1,1,22:30:00,33
1,1,1,11:35:00,33
1,1,1,4:00:00,33
1,1,1,8:00:00,33
1,1,1,8:20:00,33
1,1,1,6:35:00,33
1,1,1,1:16:00,33
1,1,1,1:45:00,33
1,1,1,12:55:00,32
1,1,1,1:50:00,32
1,1,1,22:45:00,32
1,1,1,1:40:00,32
1,1,1,18:20:00,32
1,1,1,22:05:00,32
1,1,1,17:25:00,32
1,1,1,0:41:00,32
1,1,1,16:40:00,32
1,1,1,7:58:00,32
1,1,1,23:00:00,32
1,1,1,22:15:00,32
1,1,1,16:19:00,32
1,1,1,9:00:00,32
1,1,1,13:35:00,31
1,1,1,0:40:00,31
1,1,1,18:35:00,31
1,1,1,6:40:00,31
1,1,1,7:05:00,31
1,1,1,7:35:00,30
1,1,1,19:00:00,30
1,1,1,9:50:00,30
1,1,1,17:55:00,30
1,1,1,1:20:00,30
1,1,1,5:40:00,30
1,1,1,9:05:00,30
1,1,1,20:23:00,30
1,1,1,12:54:00,30
1,1,1,16:38:00,29
1,1,1,10:00:00,29
1,1,1,8:45:00,29
1,1,1,6:32:00,29
1,1,1,23:35:00,29
1,1,1,21:25:00,29
1,1,1,13:21:00,29
1,1,1,16:20:00,29
1,1,1,5:25:00,29
1,1,1,20:25:00,29
1,1,1,22:17:00,29
1,1,1,9:20:00,29
1,1,1,2:18:00,29
1,1,1,20:15:00,28
1,1,1,2:03:00,28
1,1,1,20:20:00,28
1,1,1,18:25:00,28
1,1,1,7:45:00,28
1,1,1,22:27:00,28
1,1,1,12:36:00,28
1,1,1,10:47:00,28
1,1,1,13:50:00,28
1,1,1,0:52:00,28
1,1,1,10:15:00,28
1,1,1,1:32:00,28
1,1,1,14:24:00,28
1,1,1,12:35:00,28
1,1,1,8:25:00,28
1,1,1,14:10:00,28
1,1,1,6:00:00,28
1,1,1,19:05:00,27
1,1,1,8:05:00,27
1,1,1,3:25:00,27
1,1,1,18:40:00,27
1,1,1,3:30:00,27
1,1,1,23:15:00,27
1,1,1,6:15:00,27
1,1,1,9:55:00,27
1,1,1,19:54:00,27
1,1,1,20:55:00,27
1,1,1,17:15:00,26
1,1,1,17:26:00,26
1,1,1,9:10:00,26
1,1,1,21:22:00,26
1,1,1,4:51:00,26
1,1,1,12:20:00,26
1,1,1,13:00:00,26
1,1,1,7:25:00,26
1,1,1,21:05:00,25
1,1,1,18:11:00,25
1,1,1,21:48:00,25
1,1,1,16:25:00,25
1,1,1,19:45:00,25
1,1,1,2:25:00,25
1,1,1,15:30:00,25
1,1,1,16:24:00,25
1,1,1,0:11:00,25
1,1,1,20:38:00,25
1,1,1,22:54:00,25
1,1,1,18:50:00,25
1,1,1,4:49:00,25
1,1,1,8:30:00,24
1,1,1,23:08:00,24
1,1,1,14:36:00,24
1,1,1,18:03:00,24
