KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
1,0,-1,1,1,-1,1,10:03:00,1
1,0,-1,1,1,-1,1,1:00:00,1
1,0,-1,1,1,-1,1,21:41:00,1
1,0,-1,1,1,1,-1,21:30:00,4
1,0,-1,1,1,1,-1,17:15:00,1
1,0,-1,1,1,1,-1,15:40:00,1
1,0,-1,1,1,1,1,19:47:00,7
1,0,-1,1,1,1,1,17:26:00,6
1,0,-1,1,1,1,1,10:53:00,6
1,0,-1,1,1,1,1,9:24:00,6
1,0,-1,1,1,1,1,20:22:00,6
1,0,-1,1,1,1,1,19:39:00,6
1,0,-1,1,1,1,1,0:01:00,6
1,0,-1,1,1,1,1,10:30:00,6
1,0,-1,1,1,1,1,8:30:00,6
1,0,-1,1,1,1,1,13:46:00,6
1,0,-1,1,1,1,1,15:15:00,6
1,0,-1,1,1,1,1,16:30:00,5
1,0,-1,1,1,1,1,23:18:00,5
1,0,-1,1,1,1,1,12:30:00,5
1,0,-1,1,1,1,1,17:14:00,4
1,0,-1,1,1,1,1,3:50:00,4
1,0,-1,1,1,1,1,5:49:00,4
1,0,-1,1,1,1,1,7:09:00,4
1,0,-1,1,1,1,1,21:10:00,4
1,0,-1,1,1,1,1,18:15:00,4
1,0,-1,1,1,1,1,6:30:00,4
1,0,-1,1,1,1,1,3:55:00,4
1,0,-1,1,1,1,1,5:25:00,4
1,0,-1,1,1,1,1,3:15:00,4
1,0,-1,1,1,1,1,7:30:00,4
1,0,-1,1,1,1,1,13:40:00,4
1,0,-1,1,1,1,1,18:07:00,4
1,0,-1,1,1,1,1,17:29:00,4
1,0,-1,1,1,1,1,19:05:00,4
1,0,-1,1,1,1,1,3:06:00,4
1,0,-1,1,1,1,1,20:34:00,4
1,0,-1,1,1,1,1,23:02:00,4
1,0,-1,1,1,1,1,23:46:00,4
1,0,-1,1,1,1,1,2:03:00,4
1,0,-1,1,1,1,1,22:32:00,3
1,0,-1,1,1,1,1,15:40:00,3
1,0,-1,1,1,1,1,8:15:00,3
1,0,-1,1,1,1,1,11:37:00,3
1,0,-1,1,1,1,1,7:26:00,3
1,0,-1,1,1,1,1,20:16:00,2
1,0,-1,1,1,1,1,15:44:00,1
1,0,-1,1,1,1,1,2:11:00,1
1,0,-1,1,1,1,1,21:25:00,1
1,0,-1,1,1,1,1,7:14:00,1
1,0,-1,1,1,1,1,2:55:00,1
1,0,-1,1,1,1,1,16:25:00,1
1,0,-1,1,1,1,1,15:42:00,1
1,0,-1,1,1,1,1,14:19:00,1
1,0,-1,1,1,1,1,13:37:00,1
1,0,-1,1,1,1,1,12:09:00,1
1,0,-1,1,1,1,1,0:44:00,1
1,0,-1,1,1,1,1,6:49:00,1
1,0,-1,1,1,1,1,23:15:00,1
1,0,-1,1,1,1,1,19:55:00,1
1,0,-1,1,1,1,1,18:37:00,1
1,0,-1,1,1,1,1,6:07:00,1
1,0,-1,1,1,1,1,15:14:00,1
1,0,-1,1,1,1,1,14:32:00,1
1,0,-1,1,1,1,1,6:15:00,1
1,0,-1,1,1,1,1,1:40:00,1
1,0,-1,1,1,1,1,18:03:00,1
1,0,-1,1,1,1,1,12:00:00,1
1,0,-1,1,1,1,1,0:00:00,1
1,0,-1,1,1,1,1,8:55:00,1
1,0,-1,1,1,1,1,19:00:00,1
1,0,-1,1,1,1,1,22:34:00,1
1,0,-1,1,1,1,1,4:57:00,1
1,0,-1,2,-1,-1,-1,17:55:00,4
1,0,-1,2,-1,-1,-1,0:10:00,3
1,0,-1,2,-1,-1,-1,7:40:00,2
1,0,-1,2,-1,-1,-1,6:43:00,2
1,0,-1,2,1,-1,-1,16:57:00,3
1,0,-1,2,1,-1,-1,16:19:00,2
1,0,-1,2,1,-1,-1,23:15:00,2
1,0,-1,2,1,-1,-1,7:45:00,2
1,0,-1,2,1,-1,-1,19:00:00,1
1,0,-1,2,1,-1,-1,16:03:00,1
1,0,-1,2,1,-1,1,18:25:00,4
1,0,-1,2,1,-1,1,4:30:59,4
1,0,-1,2,1,-1,1,23:15:00,3
1,0,-1,2,1,-1,1,19:00:00,2
1,0,-1,2,1,-1,1,2:00:00,2
1,0,-1,2,1,-1,1,7:30:00,1
1,0,-1,2,1,-1,1,12:30:00,1
1,0,-1,2,1,-1,1,14:48:00,1
1,0,-1,2,1,1,-1,11:50:00,5
1,0,-1,2,1,1,-1,9:00:00,3
1,0,-1,2,1,1,-1,7:45:00,2
1,0,-1,2,1,1,-1,8:11:00,1
1,0,-1,2,1,1,1,1:34:00,6
1,0,-1,2,1,1,1,0:00:01,4
1,0,-1,2,1,1,1,19:45:00,4
1,0,-1,2,1,1,1,21:49:00,4
1,0,-1,2,1,1,1,9:04:00,4
1,0,-1,2,1,1,1,7:15:00,3
1,0,-1,2,1,1,1,16:50:00,3
1,0,-1,2,1,1,1,1:05:00,3
1,0,-1,2,1,1,1,8:11:00,3
1,0,-1,2,1,1,1,6:32:00,2
1,0,-1,2,1,1,1,2:00:00,1
1,0,-1,2,1,1,1,11:50:00,1
1,0,-1,2,1,1,1,14:00:00,1
1,0,-1,2,1,1,1,19:10:00,1
1,0,-1,2,1,1,1,19:49:00,1
1,0,-1,2,1,1,1,4:35:00,1
1,0,2,1,1,1,1,1:27:00,9
1,0,3,1,1,1,-1,2:03:00,1
1,0,3,1,1,1,1,2:03:00,8
1,0,4,1,1,1,1,0:50:00,9
1,0,5,1,1,1,1,0:13:00,9
1,0,5,1,1,1,1,20:36:00,9
1,0,6,1,1,1,1,9:48:00,6
1,0,7,1,1,1,1,10:30:00,6
1,0,7,1,1,1,1,9:03:00,6
1,0,8,1,1,1,1,21:00:00,7
1,0,8,1,1,1,1,8:19:00,6
1,0,8,1,1,1,1,7:35:00,6
1,0,8,1,1,1,1,4:35:00,6
1,0,8,1,1,1,1,3:03:00,6
1,0,9,1,1,1,1,3:55:00,7
1,0,9,1,1,1,1,1:26:00,7
1,0,9,1,1,1,1,2:14:00,7
1,0,9,1,1,1,1,3:05:00,7
1,0,9,1,1,1,1,0:43:00,7
1,0,9,1,1,1,1,1:18:00,7
1,0,9,1,1,1,1,0:35:00,7
1,0,9,1,1,1,1,0:01:00,6
1,0,9,1,1,1,1,22:32:00,6
1,0,9,1,1,1,1,21:47:00,6
1,0,9,1,1,1,1,21:05:00,6
1,0,9,1,1,1,1,20:20:00,6
1,0,9,1,1,1,1,19:35:00,6
1,0,9,1,1,1,1,22:25:00,6
1,0,9,1,1,1,1,23:08:00,6
1,0,9,1,1,1,1,23:53:00,6
1,0,10,1,1,1,1,3:50:00,6
1,0,11,1,1,1,1,11:14:00,6
1,0,11,1,1,1,1,12:38:00,6
1,0,11,1,1,1,1,16:48:00,6
1,0,11,1,1,1,1,16:07:00,6
1,0,11,1,1,1,1,15:25:00,6
1,0,11,1,1,1,1,14:45:00,6
1,0,11,1,1,1,1,14:08:00,6
1,0,11,1,1,1,1,17:29:00,6
1,0,12,1,1,1,1,6:45:00,6
1,0,13,1,1,1,-1,6:02:00,6
