PCA_x,PCA_y,tSNE_x,tSNE_y,UMAP_x,UMAP_y
-0.2889137207696137,-1.5220258870482166,-16.934225,-51.697147,3.3451312,-0.66543055
-0.6368840273536917,-1.9471020916216457,-18.29487,-53.68173,3.2891457,-0.7399116
-0.49331813834888866,-1.3070292765077036,-17.321089,-51.10477,3.3669934,-0.7184816
-0.35794457013284625,-2.206169411804588,-12.52479,-53.121296,3.46496,-0.5093756
-0.7690679849834707,-1.5245599951591324,-14.6681595,-53.033924,3.3766546,-0.66026384
-0.20899632240395333,-1.6299535726774572,-14.812148,-51.71927,3.3649776,-0.65331805
-0.6524141701291055,-2.488457408003302,-12.034371,-53.365204,3.478937,-0.4866312
-0.6448325663046798,-0.8846464852158908,-16.420649,-48.839966,3.370143,-0.64203995
-0.336085721314865,-2.5861112810109854,-9.595853,-54.321537,3.542133,-0.3956188
0.18639928709460574,-1.434055040769586,44.684643,-43.92206,7.2604623,-5.1321664
-2.6947310853715076,2.495713069510105,-97.80987,12.673191,5.6454835,-2.30905
-2.216390746076901,2.6796527446989633,-100.67046,10.334131,1.0253636,16.74161
-2.7055564873754427,2.482814671319197,-97.8228,12.6789255,5.653117,-2.3082855
-2.3225631537590528,2.7173750115262916,-100.86769,11.467706,1.0253838,16.741842
0.20821619492255897,-2.2669579954886827,43.46616,-40.202454,7.291308,-5.1129656
-2.592643023794445,-1.9213633388167668,14.457301,31.585747,8.911803,-5.125315
-2.2973699646534502,2.7391574588396597,-100.806244,11.499504,1.027824,16.74735
-2.68036329826984,2.504597118632565,-97.8108,12.658796,5.645537,-2.308525
-2.202023014816975,2.6885371583244506,-100.620766,10.300069,1.0247291,16.742842
-3.414182696293479,4.034384459586863,-97.8049,13.966005,5.6442327,-2.3073585
-3.6515567054960933,1.7130895897796312,-94.41223,18.161095,-4.5869308,-10.019096
-2.9016058456407445,3.675407943391483,-102.79015,12.141255,1.062293,16.789295
-2.178982941529793,2.5952594471723285,-101.59515,9.629097,1.0309681,16.743795
-2.3974881363843816,2.6967430614358885,-102.893394,9.285035,0.9812688,16.711535
-2.497486023743966,3.4570284741472115,-104.584404,11.101732,1.0547323,16.780699
-2.377312895739029,2.0683063890959685,-103.93729,7.5283055,1.0062829,16.730068
-3.009445835790586,3.13826835866188,-105.13379,9.909308,1.047557,16.775585
-0.6249789686733188,-1.108500507768276,-14.941609,-50.592815,3.3483558,-0.674564
-0.12423203339810147,-2.489967208845008,-13.829118,-56.34852,3.369701,-0.51259065
-3.428550427553405,4.025500045961377,-97.80129,13.959588,5.6442766,-2.3068337
-0.25078890830151135,-1.4925920690091126,-16.489773,-51.330555,3.3323994,-0.687016
-0.45519332588078637,-1.2775954584685996,-16.882133,-50.78568,3.3284469,-0.6930628
-0.3198197948925714,-2.1767353507634657,-12.217013,-52.489166,3.4699166,-0.50191
-0.7309431725153682,-1.4951261771200282,-14.922796,-53.07047,3.3552928,-0.6749495
-0.17087150993585093,-1.6005197546383532,-15.227907,-51.63708,3.3448646,-0.6762085
-0.6142894135027445,-2.4590232254611704,-11.734669,-52.7737,3.4801226,-0.4860939
-0.6067078096783188,-0.8552123026737591,-16.319887,-48.91168,3.3518896,-0.66227806
-0.2979610019163315,-2.5566768554668355,-9.594023,-54.176987,3.4813666,-0.44480005
-0.7141251985596161,-0.3872387404077828,-20.874714,-38.267776,-2.0501819,4.5867233
0.32702420128655346,-0.8700788164827757,44.961983,-46.146748,7.1130104,-5.244068
0.7622343124156938,-1.9397365089892973,45.719204,-44.543297,7.1865363,-5.1905513
0.522387145722982,-1.7080468430569602,47.25206,-46.929604,7.1570926,-5.205939
0.5326951463538624,-1.3751922366111307,46.479237,-46.113186,7.1515846,-5.214208
0.22452393203748414,-1.4046201292213998,44.732044,-43.765278,7.2737193,-5.128924
-0.5987592334995031,-1.9176681520815324,-18.277452,-53.713905,3.3079524,-0.7227824
-3.6659243809142783,1.7042048116511173,-94.41201,18.163147,-4.586377,-10.018854
-2.3117377517551176,2.7302734097171997,-100.82986,11.481638,1.0303798,16.74944
-2.1933505611062363,2.5863743045407865,-101.62608,9.692439,1.0269184,16.74609
-2.915973521058929,3.6665231652629684,-102.78869,12.132232,1.0572231,16.78547
0.4842624449383621,-1.7374813901021193,47.20515,-46.944004,7.126063,-5.236177
0.7241096674728154,-1.9691714205374837,45.60719,-44.65815,7.202803,-5.1784163
0.288899556343675,-0.8995137280309623,44.96304,-46.137676,7.149656,-5.2083526
-0.7522498993442358,-0.4166732874529418,-20.856438,-38.25698,-2.0384533,4.588446
0.19384889178265016,-2.27584520363738,43.51532,-40.14235,7.327804,-5.0822916
-2.607010252478699,-1.9302510329695,14.457028,31.585745,8.90753,-5.1299963
0.5183278618278673,-1.3840795662608363,46.460712,-46.138496,7.1583023,-5.2103024
0.5080198611969868,-1.716934172706666,47.23187,-46.92654,7.1661367,-5.196072
0.7478670837314403,-1.9486242031420304,45.680714,-44.57354,7.182837,-5.193851
0.3126569726022998,-0.878966510635509,44.974106,-46.140205,7.1373487,-5.217679
-0.728492483085611,-0.3961260700574886,-20.870255,-38.263916,-2.036212,4.58896
-0.31232830505624026,-2.565564063615533,-9.596503,-54.21834,3.5007482,-0.4529299
-0.621075150046055,-0.8640992678204376,-16.342766,-48.897545,3.3646781,-0.6511207
0.21015670335323042,-1.4135078233741327,44.732994,-43.80479,7.284336,-5.114483
-0.18523890614532856,-1.609406355282004,-15.148769,-51.650314,3.3376493,-0.68116266
-0.6286567538704807,-2.4679101906078493,-11.796816,-52.894127,3.4787614,-0.48661345
-2.5118535874786683,3.4481429670126422,-104.57066,11.088456,1.0547936,16.781506
-3.0238133436835466,3.129382487024283,-105.099724,9.911663,1.0502303,16.776438
-0.6393464765662791,-1.117386379405872,-14.870849,-50.625957,3.3448863,-0.64386404
-0.1385994854493205,-2.4988534449856323,-13.826769,-56.34089,3.361207,-0.49282962
-2.391680385018076,2.0594203959573627,-103.929665,7.543878,0.95839,16.684391
-0.6131266669368082,-1.926554509723165,-18.281258,-53.706696,3.3179877,-0.711818
-0.46956077793200535,-1.286481694609223,-16.963171,-50.85317,3.3320196,-0.6726051
-0.33418720971596294,-2.185621829906108,-12.284469,-52.60961,3.4624388,-0.5073206
-0.7453105687248459,-1.5040127777636791,-14.864737,-53.051964,3.3537357,-0.675093
-0.2651563603527304,-1.501478305149736,-16.57029,-51.399044,3.3343828,-0.68191445
-1.1187006106475634,0.08139315879506227,-44.625782,5.226663,-10.137018,0.6948779
-1.7923889735192815,0.9646396006952532,-57.997368,9.874588,-10.069639,0.031073065
-1.370934997883211,-0.7132728828887817,-50.91627,3.1248786,-10.145078,0.65917903
-1.5873986632024157,-1.6710050611940523,-52.778854,1.0611864,-10.021955,0.6519051
-1.6545798164846062,-0.8649885408861069,-51.10114,2.9084544,-10.1234,0.6127525
-1.5793608316224748,-0.41478034857293383,-48.414135,3.5322795,-10.142716,0.5767723
-1.8541998533879374,-0.8797516498022108,-48.868835,3.3598819,-10.144112,0.5915437
-1.376393926298368,-0.019743688759302862,-54.502373,7.2223964,-10.02664,0.15309297
-2.0456208699247673,-0.10905344710570902,-63.953148,7.8954988,-9.48754,0.43433025
-2.4852622215834277,-1.3059052476500346,-52.925266,-2.819168,-9.987753,0.74393743
-1.6007414874932246,0.5016523896644922,-56.918537,7.1064115,-9.982591,0.14957203
-1.5257756668363218,0.768268018262461,-57.14804,10.309235,-10.10216,0.01608394
-2.3667910857113763,-0.39600938487862297,-53.36753,14.556537,-10.377001,0.22093904
-1.2019769794758657,-0.8438158943606955,-50.123386,2.9509673,-10.135144,0.6178849
-1.1300095302678421,-0.3599677604889992,-60.99311,4.029061,-9.673865,0.2557621
-1.6919183338773462,0.2621246713617127,-56.461597,6.3611045,-9.948424,0.122162856
-2.318013789609374,0.38695111177648944,-3.246381,68.25543,-10.057564,-0.46766883
-1.1802419480393846,-0.8991847546776812,-47.56053,5.772573,-10.062648,0.49112296
-1.50000058940032,-0.12335086609725171,-59.949627,3.0964072,-9.675073,0.25518063
-1.3202756152640909,-1.6836473928937425,-53.83192,0.97120947,-10.013893,0.63336056
-2.3422910678171744,0.37190320860028303,-3.244766,68.25383,-10.052929,-0.49392992
-0.959131098559333,-0.9971069620964276,-49.699036,9.463245,-10.257829,0.34924674
-1.6135331224866274,1.0407702521066458,-56.904312,8.701773,-10.008452,-0.005970865
-1.400671092822686,-0.03479232094156404,-54.582848,7.257774,-10.016636,0.17238136
-1.816666195885341,0.9495913330160195,-58.143913,10.201157,-10.0675745,0.03277557
-2.0698980736769133,-0.12410183628595191,-63.921127,7.8448987,-9.52963,0.40642828
-1.5242778117663793,-0.13839913377648558,-60.169865,2.6757324,-9.696498,0.30227816
-1.5500529450441225,0.7532201150862545,-57.271664,10.549862,-10.071926,0.01748136
