KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sleeve,count
0,1,159,0,1,1,1,30014183,1
0,1,159,0,1,1,1,30014187,1
0,1,160,0,1,-1,1,30014189,1
0,1,160,0,1,-1,1,30014184,1
0,1,160,0,1,-1,1,30014185,1
0,1,160,0,1,1,1,30014183,1
0,1,160,0,1,1,1,30014187,1
0,1,161,0,1,1,1,30014189,1
0,1,161,0,1,1,1,30014183,1
0,1,161,0,1,1,1,30014184,1
0,1,161,0,1,1,1,30014187,1
0,1,161,0,1,1,1,30014185,1
0,1,222,0,-1,-1,1,30014191,1
0,1,222,0,-1,-1,1,30014078,1
0,1,222,0,-1,-1,1,30014142,1
0,1,222,0,-1,-1,1,30014188,1
0,1,222,0,1,-1,1,30014138,1
0,1,222,0,1,-1,1,30014141,1
0,1,222,0,1,-1,1,30014193,1
0,1,222,0,1,-1,1,30014190,1
0,1,222,0,1,-1,1,30014136,1
0,1,222,0,1,-1,1,30014192,1
0,1,222,0,1,-1,1,30014144,1
0,1,225,0,-1,-1,1,30014188,1
0,1,225,0,-1,-1,1,30014191,1
0,1,225,0,-1,-1,1,30014142,1
0,1,225,0,-1,-1,1,30014192,1
0,1,225,0,-1,-1,1,30014190,1
0,1,225,0,-1,-1,1,30014078,1
0,1,225,0,-1,-1,1,30014193,1
0,1,225,0,1,-1,1,30014144,1
0,1,225,0,1,-1,1,30014141,1
0,1,225,0,1,-1,1,30014136,1
0,1,225,0,1,-1,1,30014138,1
0,1,226,0,1,-1,-1,30014190,1
0,1,226,0,1,-1,-1,30014192,1
0,1,226,0,1,-1,-1,30014191,1
0,1,226,0,1,-1,-1,30014078,1
0,1,226,0,1,-1,-1,30014188,1
0,1,226,0,1,-1,1,30014193,1
0,1,226,0,1,-1,1,30014144,1
0,1,241,0,-1,1,1,30014078,1
0,1,241,0,-1,1,1,30014138,1
0,1,241,0,-1,1,1,30014142,1
0,1,241,0,-1,1,1,30013867,1
0,1,241,0,-1,1,1,30013359,1
0,1,241,0,-1,1,1,30014193,1
0,1,241,0,-1,1,1,30014190,1
0,1,241,0,-1,1,1,30014144,1
0,1,241,0,-1,1,1,30014187,1
0,1,241,0,-1,1,1,30014136,1
0,1,241,0,-1,1,1,30014191,1
0,1,241,0,-1,1,1,30014192,1
0,1,247,0,1,1,1,30014144,2
0,1,247,0,1,1,1,30014190,1
0,1,247,0,1,1,1,30013871,1
