IsolationForest,LOF,OneClassSVM,sleeve,count
1,-1,1,30014188,1
1,-1,1,30014078,1
1,-1,1,30013872,1
1,1,-1,30014817,9
1,1,-1,30014825,9
1,1,-1,30014144,8
1,1,-1,30014192,8
1,1,-1,30012913,7
1,1,-1,30014190,7
1,1,-1,30012912,6
1,1,-1,30014191,6
1,1,-1,30014814,6
1,1,-1,30014812,6
1,1,-1,30013865,5
1,1,-1,30012903,5
1,1,-1,30012905,5
1,1,-1,30012909,5
1,1,-1,30011717,5
1,1,-1,30014187,5
1,1,-1,30014193,5
1,1,-1,30014821,5
1,1,-1,30014811,5
1,1,-1,30014810,5
1,1,-1,30014815,5
1,1,-1,30014080,4
1,1,-1,30014078,4
1,1,-1,30013875,4
1,1,-1,30014820,4
1,1,-1,30014804,4
1,1,-1,30014816,4
1,1,-1,30014824,4
1,1,-1,30014806,4
1,1,-1,30014819,4
1,1,-1,530314 К,4
1,1,-1,30013870,3
1,1,-1,30014142,3
1,1,-1,30013359,3
1,1,-1,30014141,3
1,1,-1,30014134,3
1,1,-1,30014138,3
1,1,-1,30013874,3
1,1,-1,30014143,3
1,1,-1,30013876,3
1,1,-1,30014803,3
1,1,-1,30014808,3
1,1,-1,30013864,2
1,1,-1,30013863,2
1,1,-1,30013866,2
1,1,-1,30013868,2
1,1,-1,30014079,2
1,1,-1,30014189,2
1,1,-1,30014136,2
1,1,-1,30013871,2
1,1,-1,30013872,2
1,1,-1,30013873,2
1,1,-1,30014140,2
1,1,-1,30014809,2
1,1,-1,30014807,2
1,1,-1,83898,2
1,1,-1,30014818,2
1,1,-1,30014135,2
1,1,-1,30013346,1
1,1,-1,30013353,1
1,1,-1,30012904,1
1,1,-1,30014083,1
1,1,-1,30014082,1
1,1,-1,30014085,1
1,1,-1,30014077,1
1,1,-1,30014084,1
1,1,-1,30014185,1
1,1,-1,30014184,1
1,1,-1,30013363,1
1,1,-1,30014183,1
1,1,-1,30014186,1
1,1,-1,30014188,1
1,1,-1,30013867,1
1,1,1,30014144,750
1,1,1,30014821,490
1,1,1,30014808,452
1,1,1,30014810,437
1,1,1,30014811,432
1,1,1,30014817,429
1,1,1,30014812,426
1,1,1,30014815,400
1,1,1,30014820,385
1,1,1,30014803,377
1,1,1,30014804,342
1,1,1,30014816,341
1,1,1,30014825,319
1,1,1,30014824,319
1,1,1,30014136,312
1,1,1,30013875,300
1,1,1,30014807,298
1,1,1,30014809,274
1,1,1,30014814,273
1,1,1,30014138,269
1,1,1,30014141,262
1,1,1,30014187,261
1,1,1,30013873,242
1,1,1,30013871,240
1,1,1,30013359,230
1,1,1,30014192,220
1,1,1,30014190,220
1,1,1,30014191,219
1,1,1,30014818,219
1,1,1,30014142,218
1,1,1,30014193,215
1,1,1,30014806,215
1,1,1,30013876,208
1,1,1,30014819,193
